Dependent,Independent,Available,Balanced,Balanced_MA3,Lost_core,Lost_MA3,Lost_core_pct,Lost_MA3_pct
NBP,JKM,2523,2522,2522,1,1,0.04,0.04
TTF,JKM,2530,2522,2522,8,8,0.32,0.32
HH,JKM,2534,2522,2522,12,12,0.47,0.47
JKM,NBP,2523,2522,2522,1,1,0.04,0.04
TTF,NBP,2588,2522,2522,66,66,2.55,2.55
HH,NBP,2532,2522,2522,10,10,0.39,0.39
JKM,TTF,2530,2522,2522,8,8,0.32,0.32
NBP,TTF,2588,2522,2522,66,66,2.55,2.55
HH,TTF,2539,2522,2522,17,17,0.67,0.67
JKM,HH,2534,2522,2522,12,12,0.47,0.47
NBP,HH,2532,2522,2522,10,10,0.39,0.39
TTF,HH,2539,2522,2522,17,17,0.67,0.67
