Date,Hub
2016-01-15,JKM
2016-01-18,HH
2016-01-18,JKM
2016-03-28,TTF
2016-04-08,JKM
2016-04-11,JKM
2016-04-12,JKM
2016-04-13,JKM
2016-04-14,JKM
2016-04-15,JKM
2016-05-13,JKM
2016-07-04,HH
2016-07-04,JKM
2016-09-05,HH
2016-09-05,JKM
2016-10-14,JKM
2016-11-24,HH
2016-11-24,JKM
2017-01-16,HH
2017-01-16,JKM
2017-02-20,HH
2017-02-20,JKM
2017-04-17,NBP
2017-04-17,TTF
2017-05-01,NBP
2017-05-29,HH
2017-05-29,JKM
2017-05-29,NBP
2017-07-04,HH
2017-07-04,JKM
2017-08-28,NBP
2017-09-04,HH
2017-09-04,JKM
2017-11-23,HH
2017-11-23,JKM
2018-01-15,HH
2018-01-15,JKM
2018-02-19,HH
2018-02-19,JKM
2018-07-04,HH
2018-07-04,JKM
2018-08-27,NBP
2018-09-03,HH
2018-09-03,JKM
2018-11-22,HH
2018-11-22,JKM
2019-01-21,HH
2019-01-21,JKM
2019-02-18,HH
2019-02-18,JKM
2019-04-22,NBP
2019-04-22,TTF
2019-05-06,NBP
2019-07-04,HH
2019-07-04,JKM
2019-08-26,NBP
2019-09-02,HH
2019-09-02,JKM
2019-11-28,HH
2019-11-28,JKM
2019-12-26,NBP
2019-12-26,TTF
2020-01-20,HH
2020-01-20,JKM
2020-02-17,HH
2020-02-17,JKM
2020-07-03,HH
2020-07-03,JKM
2020-09-07,HH
2020-09-07,JKM
2020-11-26,HH
2020-11-26,JKM
2020-12-28,NBP
2021-01-18,HH
2021-01-18,JKM
2021-02-15,HH
2021-02-15,JKM
2021-07-05,HH
2021-07-05,JKM
2021-09-06,HH
2021-09-06,JKM
2021-11-25,HH
2021-11-25,JKM
2021-12-24,HH
2021-12-24,JKM
2022-01-03,NBP
2022-01-17,HH
2022-01-17,JKM
2022-02-21,HH
2022-02-21,JKM
2022-05-30,HH
2022-05-30,JKM
2022-06-03,NBP
2022-06-20,HH
2022-06-20,JKM
2022-07-04,HH
2022-07-04,JKM
2022-09-05,HH
2022-09-05,JKM
2022-11-24,HH
2022-11-24,JKM
2023-01-16,HH
2023-01-16,JKM
2023-02-20,HH
2023-02-20,JKM
2023-06-19,HH
2023-06-19,JKM
2023-07-04,HH
2023-07-04,JKM
2023-09-04,HH
2023-09-04,JKM
2023-11-23,HH
2023-11-23,JKM
2024-01-15,HH
2024-01-15,JKM
2024-02-19,HH
2024-02-19,JKM
2024-06-19,HH
2024-06-19,JKM
2024-07-04,HH
2024-07-04,JKM
2024-09-02,HH
2024-09-02,JKM
2024-11-28,HH
2024-11-28,JKM
2025-01-20,HH
2025-01-20,JKM
2025-02-17,HH
2025-02-17,JKM
2025-06-19,HH
2025-06-19,JKM
2025-07-04,HH
2025-07-04,JKM
2025-09-01,HH
2025-09-01,JKM
2025-11-27,HH
2025-11-27,JKM
2026-01-19,HH
2026-01-19,JKM
2026-02-16,HH
2026-02-16,JKM
