Hub,Month,N,Mean,SD,Month_Name
Brent_crude,1,220,0.002301196755190178,0.02167395291638568,Jan
Brent_crude,2,211,9.489107788286416e-4,0.022574418509878846,Feb
Brent_crude,3,240,-0.002382131317434568,0.04589673379555981,Mar
Brent_crude,4,191,0.0023233902455318425,0.07052474322359546,Apr
Brent_crude,5,202,0.0029549096005755705,0.029440253388662265,May
Brent_crude,6,208,0.0018879516387043738,0.022696466584692036,Jun
Brent_crude,7,210,-2.2894118426714855e-4,0.021119345175976134,Jul
Brent_crude,8,214,-2.771963842497372e-4,0.019974145115986053,Aug
Brent_crude,9,203,8.632944772630706e-5,0.02322116291856569,Sep
Brent_crude,10,220,-0.0010024139530593736,0.02096482460322912,Oct
Brent_crude,11,205,-8.018633646508762e-4,0.023411640959046343,Nov
Brent_crude,12,197,7.976509008978716e-4,0.01993823030428296,Dec
HH,1,220,-0.004258515173253743,0.0789734945411273,Jan
HH,2,211,-0.004405889005100704,0.0451595268794579,Feb
HH,3,240,9.076513949067962e-4,0.03267690831591542,Mar
HH,4,191,0.0033574988339069908,0.03961544818094262,Apr
HH,5,202,0.0015931795481897808,0.03735394110281211,May
HH,6,208,5.830361884451447e-4,0.03717376313536922,Jun
HH,7,210,-3.8326582745544106e-4,0.03232635440566484,Jul
HH,8,214,0.0038375204535802485,0.029816354239998004,Aug
HH,9,203,0.0022726663866532407,0.039169417396440136,Sep
HH,10,220,0.0031486555932348638,0.04179225942814899,Oct
HH,11,205,0.0012055260877709157,0.04480603863008104,Nov
HH,12,197,-0.006934181281879321,0.046653380784271475,Dec
JKM,1,220,-0.009452878449865466,0.06786411311135092,Jan
JKM,2,211,-0.008430380033074775,0.048097998756944316,Feb
JKM,3,240,0.0018220699896478966,0.04510396142294114,Mar
JKM,4,191,-0.0020112047049625848,0.03467994836906042,Apr
JKM,5,202,3.4547096047620075e-4,0.025966845434490682,May
JKM,6,208,0.0067915112886114395,0.03625465921068602,Jun
JKM,7,210,8.720800523449226e-4,0.02266656103059099,Jul
JKM,8,214,0.006586183316256874,0.044839307286199406,Aug
JKM,9,203,0.0046492961620166855,0.04294727238295643,Sep
JKM,10,220,0.0020603791870812257,0.031770360563104935,Oct
JKM,11,205,0.001774557199194285,0.024608518394710042,Nov
JKM,12,197,2.3307743347505781e-4,0.043406131710284325,Dec
NBP,1,220,-0.002009470073287861,0.05158972354734977,Jan
NBP,2,211,-0.007841171188941617,0.05387126750526198,Feb
NBP,3,240,0.0012320790430189296,0.06370805703400137,Mar
NBP,4,191,-0.004535224725526755,0.04785708419811914,Apr
NBP,5,202,-0.0024533873369901125,0.048821265459592963,May
NBP,6,208,0.0064103478111597915,0.0657417668363933,Jun
NBP,7,210,0.003728995821398046,0.05226140607492598,Jul
NBP,8,214,0.0068697375162182685,0.0545243415829045,Aug
NBP,9,203,0.007396265111874923,0.06510216861472695,Sep
NBP,10,220,-5.159920731557198e-4,0.051573320251239,Oct
NBP,11,205,0.0036502912065192934,0.04091607753084047,Nov
NBP,12,197,-0.006624601769804879,0.05465774824239439,Dec
TTF,1,220,-8.248236687935452e-4,0.04852212037236706,Jan
TTF,2,211,-0.006670983954177083,0.05266424628999391,Feb
TTF,3,240,0.0017276018275648136,0.06122899429517304,Mar
TTF,4,191,-0.001526501068391704,0.03535350783822188,Apr
TTF,5,202,-0.002898204881108215,0.038110205962574896,May
TTF,6,208,0.005932747639633806,0.049566847293220105,Jun
TTF,7,210,0.001753013465612692,0.03901663977308916,Jul
TTF,8,214,0.007164392760578936,0.052985281842122076,Aug
TTF,9,203,0.006406412731047642,0.05024322318078682,Sep
TTF,10,220,-0.002503980468031419,0.04471518274318585,Oct
TTF,11,205,0.003486647494827662,0.03790758927915273,Nov
TTF,12,197,-0.006612034470694242,0.05223841274840249,Dec
