Dependent,Independent,Lag,ACF,Significant
HH,JKM,1,-0.06242859700759294,TRUE
HH,JKM,2,0.05069755774115172,TRUE
HH,JKM,3,-0.02595473219101635,FALSE
HH,JKM,4,-0.0038794995262370143,FALSE
HH,JKM,5,-0.06457855166949993,TRUE
HH,JKM,6,-0.02285077312466793,FALSE
HH,JKM,7,-0.029559226680219822,FALSE
HH,JKM,8,0.01439673550526926,FALSE
HH,JKM,9,-0.02472051829132352,FALSE
HH,JKM,10,0.02700416503111753,FALSE
HH,JKM,11,-0.025106259192462958,FALSE
HH,JKM,12,-0.007258905190723595,FALSE
HH,JKM,13,-0.014627905545014317,FALSE
HH,JKM,14,0.00692187800920778,FALSE
HH,JKM,15,-0.02606663392301859,FALSE
HH,JKM,16,0.014502063309581125,FALSE
HH,JKM,17,-0.0016383279432419123,FALSE
HH,JKM,18,0.010909903029689085,FALSE
HH,JKM,19,0.038642427989992394,FALSE
HH,JKM,20,0.025802313451868102,FALSE
HH,JKM,21,0.0034009184800077316,FALSE
HH,JKM,22,-0.017674963006182196,FALSE
HH,JKM,23,-0.02181351688966063,FALSE
HH,JKM,24,-0.03408566465335728,FALSE
HH,JKM,25,-0.009014618322422938,FALSE
HH,JKM,26,-0.009938244383953196,FALSE
HH,JKM,27,-0.02611013681899804,FALSE
HH,JKM,28,-0.027308316349761424,FALSE
HH,JKM,29,-0.016736939435085398,FALSE
HH,JKM,30,-0.015043852446022698,FALSE
HH,JKM,31,0.010940258947079779,FALSE
HH,JKM,32,-0.004105300919220324,FALSE
HH,JKM,33,0.011595050991896227,FALSE
HH,JKM,34,0.043090621005235676,TRUE
HH,NBP,1,-0.05922970550867726,TRUE
HH,NBP,2,0.049103120057025836,TRUE
HH,NBP,3,-0.026999727511228068,FALSE
HH,NBP,4,0.002400785313605149,FALSE
HH,NBP,5,-0.06699228846532891,TRUE
HH,NBP,6,-0.019949582398449642,FALSE
HH,NBP,7,-0.021218340418310815,FALSE
HH,NBP,8,0.008688574483346598,FALSE
HH,NBP,9,-0.025436174802077823,FALSE
HH,NBP,10,0.025810552311571592,FALSE
HH,NBP,11,-0.027197740578216698,FALSE
HH,NBP,12,-0.004894155708206835,FALSE
HH,NBP,13,-0.010734572993458716,FALSE
HH,NBP,14,0.01306770060672452,FALSE
HH,NBP,15,-0.018789318081476426,FALSE
HH,NBP,16,0.010787094091477356,FALSE
HH,NBP,17,0.003151564185216296,FALSE
HH,NBP,18,0.003959355935082484,FALSE
HH,NBP,19,0.019684775552869883,FALSE
HH,NBP,20,0.024638425052656805,FALSE
HH,NBP,21,0.0015830983312524998,FALSE
HH,NBP,22,-0.02601142109474588,FALSE
HH,NBP,23,-0.02488283323279329,FALSE
HH,NBP,24,-0.044034238624232266,TRUE
HH,NBP,25,-0.012682009168396347,FALSE
HH,NBP,26,-0.00752354525179709,FALSE
HH,NBP,27,-0.027904551919705783,FALSE
HH,NBP,28,-0.017564806797580126,FALSE
HH,NBP,29,-0.008202632826122012,FALSE
HH,NBP,30,-0.021899258028636896,FALSE
HH,NBP,31,0.008148793539348302,FALSE
HH,NBP,32,-0.0069738662138064044,FALSE
HH,NBP,33,0.025796780653436737,FALSE
HH,NBP,34,0.05181067775137758,TRUE
HH,TTF,1,-0.05421764533262756,TRUE
HH,TTF,2,0.04710857029179773,TRUE
HH,TTF,3,-0.02816420904558589,FALSE
HH,TTF,4,0.0015396857323644435,FALSE
HH,TTF,5,-0.07010404681346684,TRUE
HH,TTF,6,-0.021577569849900873,FALSE
HH,TTF,7,-0.024388432584882484,FALSE
HH,TTF,8,0.007999836942007666,FALSE
HH,TTF,9,-0.025307313636492867,FALSE
HH,TTF,10,0.028102777335742846,FALSE
HH,TTF,11,-0.025786001533215898,FALSE
HH,TTF,12,-0.004941500682782502,FALSE
HH,TTF,13,-0.006784941798059722,FALSE
HH,TTF,14,0.009779862663465148,FALSE
HH,TTF,15,-0.021146525785751574,FALSE
HH,TTF,16,0.012846534433812503,FALSE
HH,TTF,17,1.7394089372730107e-4,FALSE
HH,TTF,18,0.006913734074972571,FALSE
HH,TTF,19,0.0197213800848726,FALSE
HH,TTF,20,0.0174980577561515,FALSE
HH,TTF,21,-9.964920699781392e-4,FALSE
HH,TTF,22,-0.026473051278175366,FALSE
HH,TTF,23,-0.024760996198348546,FALSE
HH,TTF,24,-0.04289119863698831,TRUE
HH,TTF,25,-0.013169232893898352,FALSE
HH,TTF,26,-0.007087636033837384,FALSE
HH,TTF,27,-0.02707752750665308,FALSE
HH,TTF,28,-0.01732011197039997,FALSE
HH,TTF,29,-0.009817594659413216,FALSE
HH,TTF,30,-0.024681698924560944,FALSE
HH,TTF,31,0.0102104507218372,FALSE
HH,TTF,32,-0.008195414546845048,FALSE
HH,TTF,33,0.023570402975301524,FALSE
HH,TTF,34,0.05278200271110114,TRUE
JKM,HH,1,-0.03674602776126904,FALSE
JKM,HH,2,-0.015268059023369794,FALSE
JKM,HH,3,-0.013378180726310604,FALSE
JKM,HH,4,0.025199876769539685,FALSE
JKM,HH,5,0.014028747698079923,FALSE
JKM,HH,6,0.0012382891935217486,FALSE
JKM,HH,7,0.011702972830058016,FALSE
JKM,HH,8,-0.009687624454913895,FALSE
JKM,HH,9,0.0323416950767948,FALSE
JKM,HH,10,0.026578339284240998,FALSE
JKM,HH,11,-0.02080015460607233,FALSE
JKM,HH,12,-0.007120936470007984,FALSE
JKM,HH,13,0.01983301287203723,FALSE
JKM,HH,14,-0.0017278119607063466,FALSE
JKM,HH,15,0.011219410106348342,FALSE
JKM,HH,16,-0.018952143316225946,FALSE
JKM,HH,17,-0.004192486266960618,FALSE
JKM,HH,18,0.0038983816213164564,FALSE
JKM,HH,19,0.0695588270045173,TRUE
JKM,HH,20,-0.04579532959110481,TRUE
JKM,HH,21,0.030741337577076,FALSE
JKM,HH,22,0.07335542671640198,TRUE
JKM,HH,23,0.02683986785202479,FALSE
JKM,HH,24,-0.017684308409340307,FALSE
JKM,HH,25,-0.010708936583592206,FALSE
JKM,HH,26,-0.014870301016044083,FALSE
JKM,HH,27,0.0020969665524826816,FALSE
JKM,HH,28,0.02073126600820851,FALSE
JKM,HH,29,-0.04700645632342543,TRUE
JKM,HH,30,-0.022265642077613883,FALSE
JKM,HH,31,-0.0248337078305002,FALSE
JKM,HH,32,-0.014161801351759417,FALSE
JKM,HH,33,-0.022922934121873236,FALSE
JKM,HH,34,0.006378381419389363,FALSE
JKM,NBP,1,-0.07679342796345869,TRUE
JKM,NBP,2,-0.013988735354772337,FALSE
JKM,NBP,3,-0.018768318693715837,FALSE
JKM,NBP,4,-0.005763773866378916,FALSE
JKM,NBP,5,0.0013941245603998993,FALSE
JKM,NBP,6,-0.001550967834543738,FALSE
JKM,NBP,7,-0.006225905992857056,FALSE
JKM,NBP,8,-0.02568572753160774,FALSE
JKM,NBP,9,-0.016917503036910725,FALSE
JKM,NBP,10,-0.013323088628314418,FALSE
JKM,NBP,11,-0.03554609282803415,FALSE
JKM,NBP,12,-0.03401295512319944,FALSE
JKM,NBP,13,4.86366603748666e-4,FALSE
JKM,NBP,14,0.0015249866907313563,FALSE
JKM,NBP,15,0.01717466199118874,FALSE
JKM,NBP,16,-0.0028891946372456225,FALSE
JKM,NBP,17,0.006232174036952582,FALSE
JKM,NBP,18,0.02231646461414952,FALSE
JKM,NBP,19,0.048745816907617756,TRUE
JKM,NBP,20,-0.09847381855477799,TRUE
JKM,NBP,21,0.06348461586042921,TRUE
JKM,NBP,22,0.05315202694394683,TRUE
JKM,NBP,23,0.004634160122756559,FALSE
JKM,NBP,24,-0.022375487150495376,FALSE
JKM,NBP,25,0.012361256907078674,FALSE
JKM,NBP,26,-0.011079039829401525,FALSE
JKM,NBP,27,-0.0187535714398277,FALSE
JKM,NBP,28,0.03944924025641245,TRUE
JKM,NBP,29,-0.026753622186283264,FALSE
JKM,NBP,30,-0.03681539186118379,FALSE
JKM,NBP,31,-0.012313717027109846,FALSE
JKM,NBP,32,0.006928335774819863,FALSE
JKM,NBP,33,-0.008866180009208826,FALSE
JKM,NBP,34,0.001294595716915056,FALSE
JKM,TTF,1,-0.07158768853665348,TRUE
JKM,TTF,2,-0.019369570432678552,FALSE
JKM,TTF,3,-0.026805889506406815,FALSE
JKM,TTF,4,-4.280877592629673e-4,FALSE
JKM,TTF,5,0.007259364997270109,FALSE
JKM,TTF,6,0.011863432236942145,FALSE
JKM,TTF,7,-0.014543654419365446,FALSE
JKM,TTF,8,-0.02745591552958239,FALSE
JKM,TTF,9,-0.015318912513315184,FALSE
JKM,TTF,10,-0.012795494138411644,FALSE
JKM,TTF,11,-0.035714053054703127,FALSE
JKM,TTF,12,-0.03013548971636746,FALSE
