Break_num,Omega,SE,Dependent,Independent,Break_date
1,0.04291355031900697,0.10807483973937625,JKM,NBP,2019-04-25
2,0.03570368786016156,0.10362261521724389,JKM,NBP,2021-02-12
3,0.030257270624024134,0.06691641175698995,JKM,NBP,2022-12-21
4,0.12068443844456941,0.11293640663433821,JKM,NBP,2024-09-19
1,-0.052099282509812446,0.15052974462497462,JKM,TTF,2017-08-04
2,0.022944577439832553,0.12745674663246984,JKM,TTF,2019-02-15
3,0.05941824460139915,0.07007737196328032,JKM,TTF,2021-12-07
4,0.02177975979408308,0.08393387711018468,JKM,TTF,2023-06-29
1,-0.07475567139006281,0.17838531960537066,JKM,HH,2017-09-01
2,0.2645636669675462,0.17997946206459306,JKM,HH,2019-03-15
3,0.024519618215590844,0.15085360995789124,JKM,HH,2020-12-02
4,0.1058696814668965,0.12185263240816738,JKM,HH,2022-06-21
5,-0.019891746278737722,0.16144542187356065,JKM,HH,2024-09-19
1,0.09890563068694722,0.1644721640551196,NBP,JKM,2019-04-25
2,0.334008571479262,0.11727358780314019,NBP,JKM,2021-02-12
3,-0.16611036509709293,0.1361903454304975,NBP,JKM,2022-12-21
4,0.3289734642236962,0.19775163530901857,NBP,JKM,2024-09-19
1,0.053690717380010806,0.08535679761783571,NBP,TTF,2017-07-21
2,-0.07752008182259894,0.07055651512956637,NBP,TTF,2019-02-01
3,-0.1313388090932455,0.04818113609471287,NBP,TTF,2020-08-11
4,0.15212118199275762,0.03939353235053665,NBP,TTF,2022-02-28
5,-0.02159226281851542,0.051079880611767846,NBP,TTF,2023-09-15
1,-0.1022329164288757,0.2762034874776502,NBP,HH,2017-08-25
2,0.6312500553090559,0.27321759969175113,NBP,HH,2019-03-11
3,-0.035415163773742916,0.2924646008700481,NBP,HH,2021-05-04
4,0.1392920831845017,0.20161446533063943,NBP,HH,2023-03-08
5,-0.022596414199524423,0.23399405538497395,NBP,HH,2024-09-19
1,-0.021966573395931138,0.16653551531432886,TTF,JKM,2017-08-04
2,0.08175233871566444,0.15017238547811454,TTF,JKM,2019-02-15
3,0.2077599370738944,0.09882948048533785,TTF,JKM,2021-12-07
4,0.011782288110740089,0.13323957051122018,TTF,JKM,2023-06-29
1,-0.0161532850015944,0.05912705733739218,TTF,NBP,2017-07-21
2,0.12988339290058892,0.05231734542885746,TTF,NBP,2019-02-01
3,0.1548976924030014,0.0371214953556746,TTF,NBP,2020-08-11
4,-0.3256149532682619,0.028605844252460537,TTF,NBP,2022-02-28
5,0.042559164554812026,0.03967028646863683,TTF,NBP,2023-09-15
1,-0.057804493004836935,0.23510915545106553,TTF,HH,2017-09-01
2,0.5168275332541151,0.23568162984947563,TTF,HH,2019-03-15
3,-0.06415117434425069,0.224042244364082,TTF,HH,2021-07-28
4,0.21777847689730895,0.17091017600730457,TTF,HH,2023-03-02
5,-0.04254507041345513,0.2013048876362864,TTF,HH,2024-09-19
1,-0.029628903784975284,0.16477540787934336,HH,JKM,2017-09-01
2,0.004753769431884287,0.15543188499403413,HH,JKM,2019-03-15
3,-0.021481686257644992,0.09644985515483821,HH,JKM,2020-12-02
4,0.12842898614996576,0.10069241228407122,HH,JKM,2022-06-21
5,0.007353656572491292,0.1634018548727451,HH,JKM,2024-09-19
1,-0.12152586936386837,0.16402449118562235,HH,NBP,2017-08-25
2,0.18966659907210218,0.15572594805110226,HH,NBP,2019-03-11
3,-0.004163599500600713,0.13567778159926272,HH,NBP,2021-05-04
4,0.11257359894826742,0.11213882030833837,HH,NBP,2023-03-08
5,-0.05829738625789953,0.15260794646966186,HH,NBP,2024-09-19
1,-0.16320199622831533,0.19013407186526618,HH,TTF,2017-09-01
2,0.21338202945575527,0.1707898987544546,HH,TTF,2019-03-15
3,-0.0036442659847992285,0.13065456346993812,HH,TTF,2021-07-28
4,0.14197833866564258,0.12088230737257459,HH,TTF,2023-03-02
5,-0.09369720197649525,0.16141213197581392,HH,TTF,2024-09-19
