Dependent,Independent,Date,v_t,F_t,LogLik_t
JKM,NBP,2016-01-06,0.00920706301871177,1498.6085557354793,-4.575084725020632
JKM,NBP,2016-01-07,-0.006108393395992007,0.1413134671727038,0.05931678895362953
JKM,NBP,2016-01-08,0.0028684970057197834,0.008116181240931811,1.4875023241959429
JKM,NBP,2016-01-11,-6.831709122654406e-4,0.0031825743965930384,1.9560205676302416
JKM,NBP,2016-01-12,-0.006982852632789305,0.0032110726266882748,1.9440440753256947
JKM,NBP,2016-01-13,3.98205997896639e-4,0.003005925406031876,1.9846199923811403
JKM,NBP,2016-01-14,-4.593552663996192e-4,0.0013861028966520184,2.371614921981388
JKM,NBP,2016-01-19,-0.19968367005312904,0.0035796884669993343,-3.67211752503676
JKM,NBP,2016-01-20,-0.5355943507545018,1.263736271402435,-1.1494721468158624
JKM,NBP,2016-01-21,-1.8441100015770049,0.6111764158799063,-3.454881439840177
JKM,NBP,2016-01-22,0.05306818804221991,0.002370117917594774,1.5093569168667544
JKM,NBP,2016-01-25,0.030419232418007924,0.001233808355827387,2.0548970670260824
JKM,NBP,2016-01-26,0.03685653163426417,0.001159106649217839,1.8751441110400668
JKM,NBP,2016-01-27,0.026514449397513795,0.0012708881238376723,2.1384965782386733
JKM,NBP,2016-01-28,0.032682253407450235,0.0015756332830458935,1.9686579660821673
JKM,NBP,2016-01-29,0.0340419125323288,0.001102728204547224,1.9605978442840835
JKM,NBP,2016-02-01,0.046835575591472445,0.0011385484208662252,1.5067428237460474
JKM,NBP,2016-02-02,0.05911029324254424,0.0011180082727888867,0.916552504046992
JKM,NBP,2016-02-03,0.04323256905592876,0.0011987959584120428,1.664725155107446
JKM,NBP,2016-02-04,0.04416799221229928,0.0011450120344544817,1.615357719318793
JKM,NBP,2016-02-05,0.024108924081502003,0.0011171312784898004,2.219408510826794
JKM,NBP,2016-02-08,0.02043081431152527,0.001092845749058238,2.299568943792516
JKM,NBP,2016-02-09,0.018079252693139702,0.0011094309859178797,2.335706008403994
JKM,NBP,2016-02-10,0.020123654379717415,0.001064120605226068,2.3135848664227483
JKM,NBP,2016-02-11,0.019465362825172416,0.0010613096431400582,2.3266812436035615
JKM,NBP,2016-02-12,0.010641723674376768,0.0010851106388984628,2.4419162237015044
JKM,NBP,2016-02-16,-0.11844968473070394,0.001051293825724167,-4.162957756173739
JKM,NBP,2016-02-17,0.0071198592572663255,0.0014986632205028758,2.315739806565989
JKM,NBP,2016-02-18,-0.01330546955397427,0.001360477264845384,2.31595756674805
JKM,NBP,2016-02-19,0.004699344261162475,0.0010808102055945663,2.4858672969845523
JKM,NBP,2016-02-22,-0.015946641191656452,0.001092706217841927,2.374250058029477
JKM,NBP,2016-02-23,0.004177592481117154,0.0010288540675747232,2.512234876601336
JKM,NBP,2016-02-24,0.005038389408430488,0.001036830678293747,2.5046129787369504
JKM,NBP,2016-02-25,0.01784009040749379,0.0010231451135082003,2.3679638942597943
JKM,NBP,2016-02-26,0.0014388496949655494,0.0010297691292928094,2.5192665711797964
JKM,NBP,2016-02-29,0.012300749365486752,0.0010073474412644415,2.456176409178794
JKM,NBP,2016-03-01,0.004301255065977561,0.0010067504945136304,2.5223868287929556
JKM,NBP,2016-03-02,0.008517706497266575,0.0010050300275903888,2.496336289024791
JKM,NBP,2016-03-03,0.00927414403264204,0.0010004052609132138,2.4917490642430176
JKM,NBP,2016-03-04,0.01038215181690072,0.0010123060246247152,2.475584272635105
JKM,NBP,2016-03-07,0.009085031000606092,9.948133264870125e-4,2.4960551333762724
JKM,NBP,2016-03-08,0.0017838451694405233,9.967593510392266e-4,2.5349658373062844
JKM,NBP,2016-03-09,0.002957986792142986,9.986326389201344e-4,2.531242421559993
JKM,NBP,2016-03-10,0.007455258237776929,9.893762048769031e-4,2.5121905736912082
JKM,NBP,2016-03-11,-9.881080693494582e-4,0.0010075017710177324,2.530717676109419
JKM,NBP,2016-03-14,-0.001114006574176818,9.923069121320744e-4,2.5381752065111702
JKM,NBP,2016-03-15,-0.00287027715389665,9.97092648050822e-4,2.5322636430529126
JKM,NBP,2016-03-16,-0.015942243470889572,9.960733502963292e-4,2.4093277763043366
JKM,NBP,2016-03-17,-0.00940048514813241,0.0010384762072819602,2.473514385279356
JKM,NBP,2016-03-18,-0.006615803233527062,0.0010124040135890233,2.507158951864764
JKM,NBP,2016-03-21,-0.017263101717278406,0.0010215130885309846,2.3784273896422468
JKM,NBP,2016-03-22,-0.0019256170603396683,0.0010167212359186858,2.524824109490012
JKM,NBP,2016-03-23,-0.003113669174885203,0.001010655339094515,2.5248432597594537
JKM,NBP,2016-03-24,-0.007093835906867074,0.00100861740387852,2.505702581538242
JKM,NBP,2016-03-29,-0.0082470043056877,0.0010270686954247223,2.4884744095109443
JKM,NBP,2016-03-30,-0.005616632823924661,0.0010211682829615561,2.509019122360239
JKM,NBP,2016-03-31,0.002799519824482344,0.0010638597559140758,2.500303886824077
JKM,NBP,2016-04-01,0.01172054151877533,0.0010725191663155669,2.4358926617445733
JKM,NBP,2016-04-04,0.0064092944165150545,0.0010597449732676386,2.4865433865916047
JKM,NBP,2016-04-05,0.007637026336990038,0.0010146147503252427,2.498942586157465
JKM,NBP,2016-04-06,-0.004556592045658725,9.795367315399402e-4,2.5346787392087338
JKM,NBP,2016-04-07,0.003320739254415228,0.0010064797035967028,2.5262315482441626
JKM,NBP,2016-04-18,-0.12553677340515024,0.001525715699377784,-2.840911993442574
JKM,NBP,2016-04-19,-0.016583755669927536,0.0012544182338481806,2.311982236902054
JKM,NBP,2016-04-20,0.005542067096353076,0.001132607763598377,2.459118542796035
JKM,NBP,2016-04-21,0.042773829531762786,0.0011444631716467058,1.6681443243308536
JKM,NBP,2016-04-22,-0.02735146349387141,0.0012016004256730393,2.1318176995175264
JKM,NBP,2016-04-25,0.015398969663115603,0.0010845441428105542,2.3850375995145576
JKM,NBP,2016-04-26,-0.014681857031835666,0.001277519800434881,2.328113439829859
JKM,NBP,2016-04-27,-1.483179951939917e-4,0.0011014560710004796,2.4866126176133534
JKM,NBP,2016-04-28,0.01885566188580423,0.0012274044869029447,2.2876557782122733
JKM,NBP,2016-04-29,0.006398683167370134,0.001133180702969263,2.454359290538398
JKM,NBP,2016-05-02,-9.048806968301459e-4,0.0010561443520444296,2.507239029107845
JKM,NBP,2016-05-03,-0.003043931000086486,0.0011177444235839788,2.475137994548344
JKM,NBP,2016-05-04,-0.006598105754581418,0.0010338372295921438,2.497245378490994
JKM,NBP,2016-05-05,-0.007998250966685161,0.0010492659136394334,2.4804095330235376
JKM,NBP,2016-05-06,-0.013005109998869724,0.001043982896172621,2.432413885952391
JKM,NBP,2016-05-09,-0.011109599171289286,0.0010569227030821444,2.448870324069202
JKM,NBP,2016-05-10,-0.0021543728465491796,0.0010486758066255988,2.5089620460955055
JKM,NBP,2016-05-11,-0.005584797583179091,0.0010555534329774296,2.4931322778800276
JKM,NBP,2016-05-12,-0.001610937412054314,0.0010597122405657966,2.504715960933624
JKM,NBP,2016-05-16,-0.0053292036417345034,0.0010838287290739165,2.4815872696562598
JKM,NBP,2016-05-17,-0.006339972140245509,0.0010680846421428684,2.4831891029701456
JKM,NBP,2016-05-18,0.025949045257353642,0.0010646541871739044,2.187383258753343
JKM,NBP,2016-05-19,-0.0023244245187010737,0.001084272692831157,2.4919928812317815
JKM,NBP,2016-05-20,-0.0056814980334622955,0.001064445195674348,2.4885496900291604
JKM,NBP,2016-05-23,-0.0029293526752176557,0.0010610485829709922,2.5012665902096822
JKM,NBP,2016-05-24,-0.0044518652818796856,0.0010607170367025389,2.4961242271228374
JKM,NBP,2016-05-25,-0.009164872156220527,0.0010779014125260281,2.4584688709554117
JKM,NBP,2016-05-26,7.737901526361224e-4,0.0010927972227983106,2.4902948185742044
JKM,NBP,2016-05-27,-0.010776743555376056,0.0011016441412077668,2.4338259319738422
JKM,NBP,2016-05-31,3.705713509056796e-4,0.0011109405755810773,2.482273790443092
JKM,NBP,2016-06-01,-0.01124481175215264,0.0010944296595107328,2.432054528759947
JKM,NBP,2016-06-02,0.005390242950776614,0.0011140521181722078,2.4678970360866663
JKM,NBP,2016-06-03,-0.005655619460351868,0.001102666777678921,2.4715693690202323
JKM,NBP,2016-06-06,-0.004657847622077771,0.0011196644139787023,2.4687361874026283
JKM,NBP,2016-06-07,-4.125566211934384e-4,0.0011188392738151682,2.4787171513680146
JKM,NBP,2016-06-08,-9.951086012223165e-4,0.0011109995251003808,2.4818634114203917
JKM,NBP,2016-06-09,7.894711579048419e-4,0.001115099959195317,2.480187615241234
JKM,NBP,2016-06-10,0.006850683330464236,0.0011173056513797506,2.4584767983778013
JKM,NBP,2016-06-13,0.0028502513331829515,0.0011036848482564466,2.4819315165633027
JKM,NBP,2016-06-14,-0.0025963484214295285,0.0010988818190679685,2.4847253187064196
JKM,NBP,2016-06-15,-0.005724151992115845,0.0011106847366988413,2.467700431308899
JKM,NBP,2016-06-16,0.03996677045815056,0.0011062189608937595,1.7624820986980985
JKM,NBP,2016-06-17,-0.009330560279332545,0.0011460252509443044,2.4288061053555197
JKM,NBP,2016-06-20,-0.005096951391425186,0.0012033938999323022,2.4315721798023677
JKM,NBP,2016-06-21,0.03063148437066454,0.001121568904649967,2.0592822996577587
JKM,NBP,2016-06-22,-0.005587458109027166,0.0011362833486618798,2.457320114987944
JKM,NBP,2016-06-23,0.004793763474626234,0.0011345375704077565,2.4616989874338926
JKM,NBP,2016-06-24,0.00466033948834621,0.0011508737029322339,2.4552426363036153
JKM,NBP,2016-06-27,-0.0045942057388148605,0.0011633320627429558,2.450223259806017
JKM,NBP,2016-06-28,0.004546958142681801,0.0011138341456275755,2.471754054296787
JKM,NBP,2016-06-29,-0.0014772022495419534,0.0010971649742718072,2.487579889276791
JKM,NBP,2016-06-30,-0.010056174451505973,0.0011049779183975306,2.439266853432488
JKM,NBP,2016-07-01,-0.0026061507148240626,0.0011005356931425671,2.483954799006257
JKM,NBP,2016-07-05,-0.005867531976242013,0.0011074601209420532,2.468360855337899
JKM,NBP,2016-07-06,-2.259257027747985e-4,0.0011011081488710925,2.4867573881474123
JKM,NBP,2016-07-07,-0.002959843477666979,0.0011015657588021315,2.482596349775382
JKM,NBP,2016-07-08,0.006718907092379212,0.0010950142037398074,2.4689421389938024
JKM,NBP,2016-07-11,0.004190248348664438,0.0010930224006834546,2.4824338142072677
JKM,NBP,2016-07-12,-0.001735475684613963,0.0011026518803620893,2.4847143249311783
JKM,NBP,2016-07-13,0.0016095707293970474,0.0010941714429962071,2.488756532365197
JKM,NBP,2016-07-14,-5.700065771845342e-4,0.001099834277435335,2.4872116430181346
JKM,NBP,2016-07-15,0.0051549752014852235,0.0011088440432448956,2.4712974260631775
JKM,NBP,2016-07-18,0.06782310749999154,0.0010908135046293513,0.38297110533310974
JKM,NBP,2016-07-19,0.008858407511626254,0.001163643073553235,2.4254432958341665
JKM,NBP,2016-07-20,-0.00410204883080123,0.0011723850960500771,2.448242684656418
