Dependent,Independent,LB_stat,LB_p,LB_sq_stat,LB_sq_p,JB_stat,JB_p
JKM,NBP,58.25986858415927,1.3193982989934128e-5,38.831417582667044,0.00699659364333538,948090.2713832262,0
JKM,TTF,53.89718386573036,5.991328589438627e-5,44.16127471712228,0.0014318545794475002,1243637.8985305398,0
JKM,HH,32.74234631454975,0.03600266464507984,63.98249295378567,1.6934239807087081e-6,542387.0574990019,0
NBP,JKM,48.86636731365706,3.2114543945582774e-4,1060.3481888132958,0,5014.610704824157,0
NBP,TTF,80.2726450052201,3.5289069444388588e-9,1078.044549927705,0,79241.9694613663,0
NBP,HH,48.92776115633538,3.147811363580777e-4,689.8247789083531,0,6547.440842425466,0
TTF,JKM,45.045025329381744,0.0010880611034350673,652.327393213389,0,6904.510196881367,0
TTF,NBP,56.957919566971576,2.0829871464123073e-5,730.7878510531265,0,48305.92232871014,0
TTF,HH,56.80730014257828,2.1953903386107143e-5,778.1292754023791,0,10931.619055668352,0
HH,JKM,46.49317832713665,6.894115702067438e-4,191.62587232853093,0,54591.72336947034,0
HH,NBP,40.23689229161135,0.004661950218987521,193.03517939758407,0,35058.9114366142,0
HH,TTF,39.45687142539475,0.0058469449322871014,194.03558594775882,0,39592.92341494592,0
