Regime,Alpha,SE,Dependent,Independent
1,-0.03246289756482495,0.21513042713958702,JKM,NBP
2,-0.08169794644404646,0.16344901558984545,JKM,NBP
3,-0.2230054264942715,0.26274701284379354,JKM,NBP
4,-0.39588627537564014,0.3271957933083834,JKM,NBP
5,-0.6943077133327121,0.4026182603306658,JKM,NBP
1,0.01480281925372562,0.2618357817718505,JKM,TTF
2,0.09461040817236259,0.25833943021620076,JKM,TTF
3,0.015972156121582207,0.17196974710653234,JKM,TTF
4,-0.1939019400828021,0.29153156333272157,JKM,TTF
5,-0.2434574995239343,0.3363981683163966,JKM,TTF
1,-0.10160692070850097,0.27681191168640323,JKM,HH
2,-0.01885191642580174,0.2565899406690151,JKM,HH
3,-0.3357283158566759,0.19832220922436,JKM,HH
4,-0.3157760063237157,0.2572729389361478,JKM,HH
5,-0.44626484366868274,0.34084000590418995,JKM,HH
6,-0.4493622197580469,0.3577701364407199,JKM,HH
1,-0.5160113920028733,0.4035015666855671,NBP,JKM
2,-0.6759744507031478,0.33516016573449364,NBP,JKM
3,-1.376948203741149,0.427760038634659,NBP,JKM
4,-0.8382421989324389,0.6110763786172784,NBP,JKM
5,-1.7144106845407314,0.7405473805589404,NBP,JKM
1,0.061641408513826684,0.16251208037153142,NBP,TTF
2,-0.003585527668734693,0.15441810323198543,NBP,TTF
3,0.13062085385899735,0.10808597286468194,NBP,TTF
4,0.24246413609740758,0.11789327671043696,NBP,TTF
5,-0.2653566278051584,0.1774132888887806,NBP,TTF
6,-0.21327866981636842,0.2107785471519424,NBP,TTF
1,-0.47791553871705456,0.4505681043995109,NBP,HH
2,-0.36889348722489845,0.4108281813341955,NBP,HH
3,-1.022107798982642,0.33750877034497045,NBP,HH
4,-0.9911880104712979,0.4744682418061546,NBP,HH
5,-1.1357925634654935,0.5046026935913711,NBP,HH
6,-1.1645773545867038,0.5329770397219146,NBP,HH
1,-0.5298082644386233,0.40090695995243075,TTF,JKM
2,-0.4760308289187205,0.3809903268812782,TTF,JKM
3,-0.6191569920292763,0.2822956248437332,TTF,JKM
4,-1.3033417181886016,0.4508712281032214,TTF,JKM
5,-1.2963942985964951,0.5321038255936571,TTF,JKM
1,-0.09240076190860863,0.1434663402078167,TTF,NBP
2,-0.07743808582230514,0.1379051541099282,TTF,NBP
3,-0.3256516735974624,0.10930111226872705,TTF,NBP
4,-0.49008949947016733,0.11770743523302937,TTF,NBP
5,0.6399152534451082,0.15413107955114172,TTF,NBP
6,0.5378054848933395,0.17927446649488574,TTF,NBP
1,-0.46363186889487684,0.40022924621749817,TTF,HH
2,-0.400025127644499,0.3647701071941971,TTF,HH
3,-0.9636911096907832,0.30451135714313515,TTF,HH
4,-0.8218662491437699,0.4410506012150689,TTF,HH
5,-1.0574327966154435,0.46742685560043296,TTF,HH
6,-1.0717949445967108,0.49074914354256277,TTF,HH
1,0.06768122897626666,0.3715560109515543,HH,JKM
2,0.12748673159256033,0.34489191310975087,HH,JKM
3,0.10377857722271187,0.23860001878634057,HH,JKM
4,0.08762082219090922,0.3133867134928756,HH,JKM
5,-0.4016426010079979,0.4649512470837652,HH,JKM
6,-0.3831698852127767,0.5829904807929682,HH,JKM
1,0.4637023952884163,0.3680165458285201,HH,NBP
2,0.6607049005489203,0.3424514563757595,HH,NBP
3,0.307340344857268,0.24699538068341198,HH,NBP
4,0.32587532726753804,0.39296091458844556,HH,NBP
5,-0.008144154544499089,0.4635921098324154,HH,NBP
6,0.16467785725507453,0.5646190011786176,HH,NBP
1,0.37673597041327506,0.3691338311650966,HH,TTF
2,0.6426676400037801,0.33986139811789495,HH,TTF
3,0.30365193183737416,0.24760894813845571,HH,TTF
4,0.32062206432610374,0.41330714458903106,HH,TTF
5,-0.061266358894462435,0.4950267040521732,HH,TTF
6,0.19007967896525502,0.5919816028830205,HH,TTF
