Dependent,Independent,Regime,N_obs
JKM,NBP,1,809
JKM,NBP,2,448
JKM,NBP,3,456
JKM,NBP,4,428
JKM,NBP,5,379
JKM,TTF,1,385
JKM,TTF,2,378
JKM,TTF,3,697
JKM,TTF,4,378
JKM,TTF,5,682
JKM,HH,1,404
JKM,HH,2,378
JKM,HH,3,427
JKM,HH,4,378
JKM,HH,5,554
JKM,HH,6,379
NBP,JKM,1,809
NBP,JKM,2,448
NBP,JKM,3,456
NBP,JKM,4,428
NBP,JKM,5,379
NBP,TTF,1,375
NBP,TTF,2,378
NBP,TTF,3,378
NBP,TTF,4,382
NBP,TTF,5,378
NBP,TTF,6,629
NBP,HH,1,400
NBP,HH,2,378
NBP,HH,3,532
NBP,HH,4,453
NBP,HH,5,378
NBP,HH,6,379
TTF,JKM,1,385
TTF,JKM,2,378
TTF,JKM,3,697
TTF,JKM,4,378
TTF,JKM,5,682
TTF,NBP,1,375
TTF,NBP,2,378
TTF,NBP,3,378
TTF,NBP,4,382
TTF,NBP,5,378
TTF,NBP,6,629
TTF,HH,1,404
TTF,HH,2,378
TTF,HH,3,587
TTF,HH,4,390
TTF,HH,5,382
TTF,HH,6,379
HH,JKM,1,404
HH,JKM,2,378
HH,JKM,3,427
HH,JKM,4,378
HH,JKM,5,554
HH,JKM,6,379
HH,NBP,1,400
HH,NBP,2,378
HH,NBP,3,532
HH,NBP,4,453
HH,NBP,5,378
HH,NBP,6,379
HH,TTF,1,404
HH,TTF,2,378
HH,TTF,3,587
HH,TTF,4,390
HH,TTF,5,382
HH,TTF,6,379
