Dependent,Independent,Window,N,SD_residual,Mean_abs_residual,LB_p,LB_sq_p
JKM,NBP,Pre-COVID,1001,0.7863252795668968,0.30986733493978974,0.2842935552341932,0.9847461287847857
JKM,NBP,COVID shock,102,1.1043800941229867,0.7023409209565398,0.6955888889822774,0.9987914035692474
JKM,NBP,Interim recovery,290,1.7473824398427311,0.7161867184998769,0.03540327590174708,0.9995133871142411
JKM,NBP,Energy crisis (pre-war),118,1.1217634075343084,0.6580664725836611,0.12026611698514589,0.9999845856940606
JKM,NBP,Post-invasion crisis,208,1.35409250249297,0.8500486860451333,0.003208655793021764,0.975723629141167
JKM,NBP,Normalization,801,0.6646800634915017,0.31205575144501324,0.5033945709131785,0.9430987447509601
JKM,TTF,Pre-COVID,1001,0.7759958349806724,0.3113181880376613,0.584260908648561,0.9875554840672038
JKM,TTF,COVID shock,102,1.04175420155304,0.6536231610010633,0.8058976209016357,0.9983485121689911
JKM,TTF,Interim recovery,290,1.788162779889804,0.6864487968657051,0.07755523747514026,0.9990244995738636
JKM,TTF,Energy crisis (pre-war),118,1.1703038044304739,0.6800191243413135,0.06259735319950976,0.9998149165468162
JKM,TTF,Post-invasion crisis,208,1.3028971686896753,0.821856864408117,0.0013728100261920506,0.995565063080505
JKM,TTF,Normalization,801,0.6683645229146541,0.31674442981299106,0.2093061619339861,0.972210104956056
JKM,HH,Pre-COVID,1001,0.7244129312829489,0.2945629830924016,0.48515280305711495,0.9683186526061769
JKM,HH,COVID shock,102,1.0164694077570506,0.6450050118906371,0.9071998146667879,0.9892552647247443
JKM,HH,Interim recovery,290,1.6812522838368853,0.7204560721793066,0.044500121566038886,0.987788407949666
JKM,HH,Energy crisis (pre-war),118,1.365814389432037,0.8519858566907916,0.024336477845012028,0.9027666257954252
JKM,HH,Post-invasion crisis,208,1.3392861383696755,0.7432146580354004,0.0273166380954456,8.423171813418673e-4
JKM,HH,Normalization,801,0.7642144914934591,0.36253188898731836,0.6388584507569124,0.3330592525296072
NBP,JKM,Pre-COVID,1001,0.715141433746196,0.49758542371504233,0.0037050665204759747,2.591939451384029e-4
NBP,JKM,COVID shock,102,1.7487892617024121,1.242752983981652,0.2362434620529068,8.688653022614901e-7
NBP,JKM,Interim recovery,290,1.0268403413344989,0.7369112468897004,0.10871622167940043,7.771561172376096e-16
NBP,JKM,Energy crisis (pre-war),118,1.118671897855589,0.8340654983603165,0.8352133961819712,0.2031479251568189
NBP,JKM,Post-invasion crisis,208,1.7759308791364572,1.353214905641586,0.20219864326256387,0.027293569721943745
NBP,JKM,Normalization,801,0.8527904238673274,0.5906435818127016,5.394545085080082e-7,0
NBP,TTF,Pre-COVID,1001,0.6824683182357133,0.4580598734620824,0.49276472696352736,0.24862941078244827
NBP,TTF,COVID shock,102,2.133324500822251,1.5227951131078052,0.2629168734508208,0.02097717901882823
NBP,TTF,Interim recovery,290,0.8604252089796289,0.5576389856295348,0.006213377436104395,0
NBP,TTF,Energy crisis (pre-war),118,0.3085639570056207,0.22681390581922756,0.7567030003198554,0.967306223991452
NBP,TTF,Post-invasion crisis,208,2.3893486475598644,1.4962440630121798,0.40874580128054117,0.46311402714090577
NBP,TTF,Normalization,801,0.46180003383967433,0.33403313672598167,0.3568815435113143,0.08991271160776637
NBP,HH,Pre-COVID,1001,0.6804454851655577,0.4663174569277408,0.005132093247168346,0.0013543642499783681
NBP,HH,COVID shock,102,1.5651428846016935,1.0836099974795443,0.8230308709168176,2.8261184542788254e-4
NBP,HH,Interim recovery,290,0.9993153945686437,0.724485101858708,0.24011040402544426,4.89517385404703e-7
NBP,HH,Energy crisis (pre-war),118,1.343052146895388,0.9782294276623558,0.37132334793804533,2.807831776008296e-5
NBP,HH,Post-invasion crisis,208,1.6472124631260128,1.2305562678244162,0.6156878230530087,9.531385691685657e-5
NBP,HH,Normalization,801,0.9569341467274748,0.6702933145541404,4.534128407662763e-5,0
TTF,JKM,Pre-COVID,1001,0.7366376686418055,0.48711668343594394,7.912102483187411e-7,0
TTF,JKM,COVID shock,102,1.7150885945693826,1.1640212419873117,0.4756107367057787,1.2291811328335456e-5
TTF,JKM,Interim recovery,290,1.0929375752481725,0.7596149940125848,0.014046277738213986,4.33992695596519e-5
TTF,JKM,Energy crisis (pre-war),118,1.2998000525232034,0.9704617334076924,0.8737578023213501,0.7563395689457945
TTF,JKM,Post-invasion crisis,208,1.4527475152949394,1.074877312355356,0.08040168930744163,0.00539517661927158
TTF,JKM,Normalization,801,0.9256171034335792,0.6488418753198021,4.425883872727354e-7,0
TTF,NBP,Pre-COVID,1001,0.688909425588613,0.45851537021532446,0.04858080807129772,0.8371586954146131
TTF,NBP,COVID shock,102,2.0575354518497355,1.410414437668215,0.15823909123978663,0.9953312778403034
TTF,NBP,Interim recovery,290,0.868343339520633,0.5934742907784828,0.003058228599198687,0
TTF,NBP,Energy crisis (pre-war),118,0.4140157856154804,0.31015409592436016,0.5133429161062693,0.7230849427598787
TTF,NBP,Post-invasion crisis,208,2.2573422588114505,1.5322576050138572,0.607527907869795,0.5602344105232908
TTF,NBP,Normalization,801,0.6209647113471418,0.4315315698902814,7.440392659094908e-4,0
TTF,HH,Pre-COVID,1001,0.6831888541748355,0.448261170673585,2.1754041954480385e-6,4.440892098500626e-16
TTF,HH,COVID shock,102,1.4765907865538628,0.9814524633689992,0.6092419815233253,1.3799853396778694e-5
TTF,HH,Interim recovery,290,1.0260080296610024,0.7261036756306007,0.0978092162709846,2.005239719512497e-4
TTF,HH,Energy crisis (pre-war),118,1.5441503033769464,1.1270155469128686,0.36612420367584786,1.8867057962945744e-5
TTF,HH,Post-invasion crisis,208,1.4849178378266314,0.9954756475344,0.35588746592413356,1.6608936448392342e-13
TTF,HH,Normalization,801,0.9856865672417661,0.6909758124204072,9.681471174971534e-6,0
HH,JKM,Pre-COVID,1001,0.720155548165355,0.5164179364479619,0.37390691477611826,0
HH,JKM,COVID shock,102,1.3526733916267097,1.0536397975084673,0.17295691208601216,0.881210234541434
HH,JKM,Interim recovery,290,0.9490793309587634,0.6309652365323543,0.35001977376385196,7.041342298019782e-5
HH,JKM,Energy crisis (pre-war),118,1.356332141166088,0.9182847257694258,0.0027995470391851685,0.053440517175638025
HH,JKM,Post-invasion crisis,208,0.9517216656776615,0.7421426305382607,0.9294867240700723,0.01034052888006054
HH,JKM,Normalization,801,1.1921194744446082,0.8065471986447732,0.0014379629181757725,7.823192329836637e-6
HH,NBP,Pre-COVID,1001,0.7530405267027956,0.541340778495988,0.5016266100041383,0
HH,NBP,COVID shock,102,1.4594447989231716,1.1158382282531454,0.5193787978177828,0.6512245863996347
HH,NBP,Interim recovery,290,0.9859700935398291,0.666595617155643,0.12849723664003343,6.048819510828807e-7
HH,NBP,Energy crisis (pre-war),118,1.2735838564819497,0.8579276365274473,0.0012454151180159023,0.05670266297709525
HH,NBP,Post-invasion crisis,208,0.9115518962892465,0.7039855813948936,0.983794905581987,0.013139733959969258
HH,NBP,Normalization,801,1.1613962527961428,0.7921612024693375,9.757491902657733e-4,1.570469480172143e-5
HH,TTF,Pre-COVID,1001,0.7629331918543694,0.5483715492297389,0.4997794536249853,0
HH,TTF,COVID shock,102,1.4400883865299132,1.1105597533810854,0.29582517481566684,0.7056834032724897
HH,TTF,Interim recovery,290,1.0123476317466729,0.6865546543831599,0.09632720982714271,1.6657439916301087e-7
HH,TTF,Energy crisis (pre-war),118,1.2677431488035475,0.855471407133578,0.001208672047390058,0.05528229504184856
HH,TTF,Post-invasion crisis,208,0.8537266854872018,0.6603904474806156,0.9773046224771559,0.011719111535678506
HH,TTF,Normalization,801,1.1606198613063903,0.7863311287695322,0.0011621974617055386,1.1478766309469535e-5
