Dependent,Independent,Lag,ACF,Significant
JKM,NBP,1,-0.07258813321769293,TRUE
JKM,NBP,2,-0.016108075628943265,FALSE
JKM,NBP,3,-0.021006751020181354,FALSE
JKM,NBP,4,-0.0037018560445382215,FALSE
JKM,NBP,5,0.007004393163656488,FALSE
JKM,NBP,6,0.0031968353913102076,FALSE
JKM,NBP,7,-0.008756373416586348,FALSE
JKM,NBP,8,-0.02311055305248546,FALSE
JKM,NBP,9,-0.01438076422473206,FALSE
JKM,NBP,10,-0.011464266572932685,FALSE
JKM,NBP,11,-0.03343449901627637,FALSE
JKM,NBP,12,-0.0328394961549299,FALSE
JKM,NBP,13,7.205084346213242e-5,FALSE
JKM,NBP,14,0.0018848262465217406,FALSE
JKM,NBP,15,0.017298940771442995,FALSE
JKM,NBP,16,-0.00447041873888859,FALSE
JKM,NBP,17,0.004245345871977159,FALSE
JKM,NBP,18,0.02343664088488746,FALSE
JKM,NBP,19,0.0642078057896682,TRUE
JKM,NBP,20,-0.08019262348185202,TRUE
JKM,NBP,21,0.0371526147204262,FALSE
JKM,NBP,22,0.061130645830217954,TRUE
JKM,NBP,23,0.029049686574100304,FALSE
JKM,NBP,24,-0.023869885120403986,FALSE
JKM,NBP,25,0.003569664068458383,FALSE
JKM,NBP,26,0.003636753491509373,FALSE
JKM,NBP,27,-0.015958812372832948,FALSE
JKM,NBP,28,0.03343569980056457,FALSE
JKM,NBP,29,-0.02512789183873542,FALSE
JKM,NBP,30,-0.035770953650332955,FALSE
JKM,NBP,31,-0.017016180141245032,FALSE
JKM,NBP,32,8.295344293484534e-4,FALSE
JKM,NBP,33,-0.009748018243364822,FALSE
JKM,NBP,34,-0.005716237173634106,FALSE
JKM,TTF,1,-0.07242793183284978,TRUE
JKM,TTF,2,-0.019125877713621203,FALSE
JKM,TTF,3,-0.02499878251933838,FALSE
JKM,TTF,4,0.0018289602248483766,FALSE
JKM,TTF,5,0.008469504263261327,FALSE
JKM,TTF,6,0.011153989715445876,FALSE
JKM,TTF,7,-0.011822826402892188,FALSE
JKM,TTF,8,-0.024711774482848586,FALSE
JKM,TTF,9,-0.013550125151822865,FALSE
JKM,TTF,10,-0.013461819634845398,FALSE
JKM,TTF,11,-0.03527416425706764,FALSE
JKM,TTF,12,-0.030603401447927687,FALSE
JKM,TTF,13,0.0027670491178023973,FALSE
JKM,TTF,14,-1.1462571651168875e-4,FALSE
JKM,TTF,15,0.02161042212596364,FALSE
JKM,TTF,16,-0.009838218558831874,FALSE
JKM,TTF,17,0.003621659111852554,FALSE
JKM,TTF,18,0.01680160311557301,FALSE
JKM,TTF,19,0.06910130804052159,TRUE
JKM,TTF,20,-0.07536040577678833,TRUE
JKM,TTF,21,0.032960585100759235,FALSE
JKM,TTF,22,0.06080531580388901,TRUE
JKM,TTF,23,0.03108680557691752,FALSE
JKM,TTF,24,-0.016784498665867127,FALSE
JKM,TTF,25,0.002775115371744621,FALSE
JKM,TTF,26,1.9285422819204765e-4,FALSE
JKM,TTF,27,-0.015276843462796383,FALSE
JKM,TTF,28,0.029979867427195685,FALSE
JKM,TTF,29,-0.02470632390948201,FALSE
JKM,TTF,30,-0.029940588930685824,FALSE
JKM,TTF,31,-0.02322853440979068,FALSE
JKM,TTF,32,-1.605496828653423e-4,FALSE
JKM,TTF,33,-0.01862405032516331,FALSE
JKM,TTF,34,-0.0013741004843593437,FALSE
JKM,HH,1,-0.03356280864111819,FALSE
JKM,HH,2,-0.01604201224313359,FALSE
JKM,HH,3,-0.014208818571818969,FALSE
JKM,HH,4,0.01712450760496194,FALSE
JKM,HH,5,0.008323815691544736,FALSE
JKM,HH,6,-0.004102949297938111,FALSE
JKM,HH,7,0.012210299248020258,FALSE
JKM,HH,8,-0.0036147704797646076,FALSE
JKM,HH,9,0.030982000464833532,FALSE
JKM,HH,10,0.022528655586925257,FALSE
JKM,HH,11,-0.01859619920632596,FALSE
JKM,HH,12,-0.010971568542668236,FALSE
JKM,HH,13,0.016029296808940153,FALSE
JKM,HH,14,-0.005627039606726279,FALSE
JKM,HH,15,0.008517295174602821,FALSE
JKM,HH,16,-0.017504801496141812,FALSE
JKM,HH,17,-0.002228847888008938,FALSE
JKM,HH,18,0.006838301425014751,FALSE
JKM,HH,19,0.0686097266033369,TRUE
JKM,HH,20,-0.044640109170912476,TRUE
JKM,HH,21,0.031137097307334504,FALSE
JKM,HH,22,0.07408453885740172,TRUE
JKM,HH,23,0.0263722793649875,FALSE
JKM,HH,24,-0.014686426008496112,FALSE
JKM,HH,25,-0.01000785464906717,FALSE
JKM,HH,26,-0.014408690877142683,FALSE
JKM,HH,27,3.4830184336333834e-4,FALSE
JKM,HH,28,0.020134935720744745,FALSE
JKM,HH,29,-0.04774032077998522,TRUE
JKM,HH,30,-0.01907940778323765,FALSE
JKM,HH,31,-0.023866631054568672,FALSE
JKM,HH,32,-0.013814575923403677,FALSE
JKM,HH,33,-0.021226561219386385,FALSE
JKM,HH,34,0.0074553493694830605,FALSE
NBP,JKM,1,-0.06283103668085982,TRUE
NBP,JKM,2,-7.858691835331546e-4,FALSE
NBP,JKM,3,-0.008589119828226152,FALSE
NBP,JKM,4,-0.009439262010690052,FALSE
NBP,JKM,5,-0.053366369455120015,TRUE
NBP,JKM,6,-0.017832161856739945,FALSE
NBP,JKM,7,-0.008355119012775022,FALSE
NBP,JKM,8,-0.015092878463602494,FALSE
NBP,JKM,9,-0.054065652265399035,TRUE
NBP,JKM,10,-0.03788835838632065,FALSE
NBP,JKM,11,0.03519066093411453,FALSE
NBP,JKM,12,-0.01342998234261988,FALSE
NBP,JKM,13,-0.03296044234298346,FALSE
NBP,JKM,14,0.04102337978625058,TRUE
NBP,JKM,15,-0.0322377542314745,FALSE
NBP,JKM,16,-0.01790702746260309,FALSE
NBP,JKM,17,-0.009806951880959739,FALSE
NBP,JKM,18,0.03971837665247547,TRUE
NBP,JKM,19,0.0027603005887511488,FALSE
NBP,JKM,20,6.936922205259852e-5,FALSE
NBP,JKM,21,0.005840917916864789,FALSE
NBP,JKM,22,-0.002813042611739452,FALSE
NBP,JKM,23,0.042805813707641874,TRUE
NBP,JKM,24,-0.016306988713754134,FALSE
NBP,JKM,25,-0.012740259468428538,FALSE
NBP,JKM,26,-0.005375781454342644,FALSE
NBP,JKM,27,0.007487736377068186,FALSE
NBP,JKM,28,0.030618735541728476,FALSE
NBP,JKM,29,-0.03868893120396992,FALSE
NBP,JKM,30,-0.03998662304207721,TRUE
NBP,JKM,31,0.028460187429788234,FALSE
NBP,JKM,32,-0.008924108120311025,FALSE
NBP,JKM,33,-0.036007940750306736,FALSE
NBP,JKM,34,0.03214304979530937,FALSE
NBP,TTF,1,0.033667789001433863,FALSE
NBP,TTF,2,-0.002356689708070078,FALSE
NBP,TTF,3,0.015219404761994135,FALSE
NBP,TTF,4,-0.12154982529930472,TRUE
NBP,TTF,5,-0.018431966653454562,FALSE
NBP,TTF,6,-0.05197152124996011,TRUE
NBP,TTF,7,-0.02654199922070244,FALSE
NBP,TTF,8,0.036298600877975186,FALSE
NBP,TTF,9,-0.06960935528215965,TRUE
NBP,TTF,10,0.0415905453604715,TRUE
NBP,TTF,11,0.04108924973506853,TRUE
NBP,TTF,12,0.018930496293507945,FALSE
NBP,TTF,13,-0.015030873426199408,FALSE
NBP,TTF,14,0.03220237227078945,FALSE
NBP,TTF,15,-0.017977949977417394,FALSE
NBP,TTF,16,0.007758663818915218,FALSE
NBP,TTF,17,-0.027164080879699733,FALSE
NBP,TTF,18,0.026852554372038352,FALSE
NBP,TTF,19,-0.0036754060906529925,FALSE
NBP,TTF,20,-0.012758244720440442,FALSE
NBP,TTF,21,-0.04148473188935107,TRUE
NBP,TTF,22,-0.01029037523467037,FALSE
NBP,TTF,23,-0.03372977136710946,FALSE
NBP,TTF,24,0.009863304116614369,FALSE
NBP,TTF,25,-0.02220072838274181,FALSE
NBP,TTF,26,-0.02556544576547689,FALSE
NBP,TTF,27,0.0438466890743709,TRUE
NBP,TTF,28,0.034724407275060196,FALSE
NBP,TTF,29,0.023808746665262902,FALSE
NBP,TTF,30,-0.024822925606357005,FALSE
NBP,TTF,31,-0.010185899631456203,FALSE
NBP,TTF,32,-0.005662669645918132,FALSE
NBP,TTF,33,-0.02633121975166564,FALSE
NBP,TTF,34,0.03371551515925816,FALSE
NBP,HH,1,-0.04792718189484465,TRUE
NBP,HH,2,-0.007223837607151097,FALSE
NBP,HH,3,-0.022664232498431764,FALSE
NBP,HH,4,0.037193217001385066,FALSE
NBP,HH,5,-0.05677112315627577,TRUE
NBP,HH,6,-0.02819188054632953,FALSE
NBP,HH,7,0.019527590933235014,FALSE
NBP,HH,8,0.0011859764010005661,FALSE
NBP,HH,9,-0.04297545892620869,TRUE
NBP,HH,10,-0.04732297049000523,TRUE
NBP,HH,11,0.03563649476524069,FALSE
NBP,HH,12,0.011782596631766326,FALSE
NBP,HH,13,-0.011347928402507108,FALSE
NBP,HH,14,0.03798380881355005,FALSE
NBP,HH,15,-0.021619336056126617,FALSE
NBP,HH,16,-0.031047885390044574,FALSE
NBP,HH,17,-0.025371737185369413,FALSE
NBP,HH,18,0.008223537206658835,FALSE
NBP,HH,19,-0.012105951929386918,FALSE
NBP,HH,20,0.013470085856039999,FALSE
NBP,HH,21,-0.00504178075547713,FALSE
NBP,HH,22,0.006465678571027962,FALSE
NBP,HH,23,0.03391144060175129,FALSE
NBP,HH,24,-0.0179518268926735,FALSE
NBP,HH,25,-0.006114488974580496,FALSE
NBP,HH,26,0.00464947481458276,FALSE
NBP,HH,27,0.022730919274920405,FALSE
NBP,HH,28,0.012118136547106396,FALSE
NBP,HH,29,-0.0416749171409551,TRUE
NBP,HH,30,-0.018050493895144733,FALSE
NBP,HH,31,0.021607632705852,FALSE
NBP,HH,32,-0.012117908421627915,FALSE
NBP,HH,33,-0.008869746391318585,FALSE
NBP,HH,34,0.04809937023475597,TRUE
TTF,JKM,1,-0.06089911443334293,TRUE
TTF,JKM,2,-0.008663413608034404,FALSE
TTF,JKM,3,-0.02089463332692155,FALSE
TTF,JKM,4,0.026095310967014427,FALSE
TTF,JKM,5,-0.05683934494041114,TRUE
TTF,JKM,6,-0.01564150413881674,FALSE
TTF,JKM,7,-0.008005923831873617,FALSE
