V_obs,Q_beta,Q_delta,log_V_obs,log_Q_beta,log_Q_delta,V_near_start_grid_edge,Q_beta_near_start_grid_edge,Q_delta_near_start_grid_edge,Q_beta_effectively_zero,Q_delta_effectively_zero,Phi1,Phi1_SE,Phi2,Phi2_SE,AR_Denominator,AR_Min_Root_Modulus,AR_Stable,AR_Denom_Caution,Corr_gas_oil_regressors,N_regimes,N_states,Neg_LogLik,AIC_hyper,BIC_hyper,AIC_static,BIC_static,Converged,Dependent,Independent,N
4.4129699676350044e-4,9.059355795925899e-5,4.2313623979255363e-5,-7.728061066112723,-9.309127451645804,-10.070401443880801,TRUE,FALSE,FALSE,FALSE,FALSE,0.2765992078536952,0.018878553970635033,0.041927192000621796,0.018613264478446957,0.681473600145683,2.594769920265462,TRUE,FALSE,0.7992184928584302,5,9,-6957.463026958156,-13908.926053916312,-13891.430011374796,-13900.926053916312,-13860.101954652773,TRUE,JKM,NBP,2520
4.921814216990123e-4,7.265994016414772e-5,5.028873754429152e-5,-7.6186970041206195,-9.529720354676268,-9.897729411609289,TRUE,FALSE,FALSE,FALSE,FALSE,0.30611955996132184,0.01883609309919943,0.047152195182918556,0.018578488347804692,0.6467282448557596,2.3881863693016845,TRUE,FALSE,0.8200030257945744,5,9,-6950.684727845646,-13895.369455691292,-13877.873413149777,-13887.369455691292,-13846.545356427754,TRUE,JKM,TTF,2520
4.539435448825725e-4,4.963637639971799e-4,4.156917055316697e-5,-7.699743065230862,-7.6082015048865514,-10.08815175791378,TRUE,FALSE,FALSE,FALSE,FALSE,0.2893638415448771,0.019816999557636706,0.028943989963210834,0.019913072526503837,0.681692168491912,2.717294036549371,TRUE,FALSE,0.5460195742683231,6,10,-6766.843336263292,-13527.686672526585,-13510.190629985069,-13517.686672526585,-13471.030559082541,TRUE,JKM,HH,2520
1.8836892743406326e-4,1.5068870444997996e-4,2.0463088445662838e-4,-8.582431010690762,-8.800294409023024,-8.494302765415213,TRUE,FALSE,FALSE,FALSE,FALSE,0.054845552564304505,0.01892162801208998,-0.04394454711328748,0.018738294725806435,0.989098994548983,4.770319894033822,TRUE,FALSE,0.7992756656448222,5,9,-6333.341802770015,-12660.68360554003,-12643.187562998515,-12652.68360554003,-12611.859506276493,TRUE,NBP,JKM,2520
1.7192579607316248e-5,3.644937438353667e-5,2.1262022317830012e-5,-11.030957469593488,-10.219586263345885,-10.758588066440335,TRUE,FALSE,FALSE,FALSE,FALSE,-0.0031515762089589275,0.0069853087248403275,0.012657843682544481,0.0069068147318226145,0.9904937325264144,8.764710031882295,TRUE,FALSE,0.8200030257945744,6,10,-8878.748920586302,-17751.497841172604,-17734.00179863109,-17741.497841172604,-17694.84172772856,TRUE,NBP,TTF,2520
1.5766589882883512e-4,9.912160215268977e-4,1.8164736624006513e-4,-8.761395053032832,-6.916578064011917,-8.613443298493477,TRUE,FALSE,FALSE,FALSE,FALSE,0.08455437638596654,0.019603152064514844,-0.032792348387546515,0.019700570031551713,0.94823797200158,5.522220455500735,TRUE,FALSE,0.5460195742683231,6,10,-6198.976539586501,-12391.953079173001,-12374.457036631486,-12381.953079173001,-12335.296965728958,TRUE,NBP,HH,2520
2.511892863911012e-4,9.054190810423673e-5,1.4619128357055394e-4,-8.293292781027725,-9.309697741468604,-8.830594632326385,TRUE,FALSE,FALSE,FALSE,FALSE,0.12176044219633474,0.01869655972998792,-0.05100694774086751,0.01846258957147347,0.9292465055445328,4.42777283975274,TRUE,FALSE,0.7992756656448222,5,9,-6662.373248492547,-13318.746496985093,-13301.250454443578,-13310.746496985093,-13269.922397721555,TRUE,TTF,JKM,2520
7.089126853601598e-6,1.4331783816038423e-5,2.5904950097455915e-5,-12.009005860314314,-11.153030842640465,-10.561076484066646,TRUE,FALSE,FALSE,FALSE,FALSE,0.016314284855439135,0.006691903644614635,-0.018169656107732836,0.006667511749106593,1.0018553712522937,7.418680131944834,TRUE,FALSE,0.7992184928584302,6,10,-9234.199725189648,-18462.399450379296,-18444.90340783778,-18452.399450379296,-18405.74333693525,TRUE,TTF,NBP,2520
2.5353332488539486e-4,5.165645977839166e-4,1.6422253106697035e-4,-8.283967338213282,-7.568310208911482,-8.71428815314274,TRUE,FALSE,FALSE,FALSE,FALSE,0.16090769358621917,0.01962867116258908,-0.050998630999540474,0.019644051581403713,0.8900909374133213,4.428133860621771,TRUE,FALSE,0.5460195742683231,6,10,-6465.276268893726,-12924.552537787453,-12907.056495245937,-12914.552537787453,-12867.89642434341,TRUE,TTF,HH,2520
3.229530262950867e-4,1.5516559852801697e-4,7.639853973116316e-5,-8.041104904132704,-8.771017633754099,-9.479546975440915,TRUE,FALSE,FALSE,FALSE,FALSE,0.10079004635532077,0.019979321041705314,0.03832861011597011,0.019897378455008007,0.8608813435287092,3.9595486024966164,TRUE,FALSE,0.7992756656448222,6,10,-6628.423413164643,-13250.846826329285,-13233.35078378777,-13240.846826329285,-13194.190712885242,TRUE,HH,JKM,2520
1.7064011378407538e-4,1.809909189466033e-4,1.0574524864781619e-4,-8.681831342619631,-8.617063699522811,-9.154477671091563,TRUE,FALSE,FALSE,FALSE,FALSE,0.019967262176251065,0.019777434360119698,0.02098446227803638,0.0198062236682183,0.9590482755457125,6.44382201983824,TRUE,FALSE,0.7992184928584302,6,10,-6679.646949173549,-13353.293898347098,-13335.797855805582,-13343.293898347098,-13296.637784903054,TRUE,HH,NBP,2520
1.8067899581895215e-4,1.937497107572983e-4,1.0770184821989037e-4,-8.624338655708858,-8.54894338259749,-9.13614381313311,TRUE,FALSE,FALSE,FALSE,FALSE,0.028637583387691592,0.019804825649177727,0.02624763310871576,0.019816139058516032,0.9451147835035926,5.6509456598521695,TRUE,FALSE,0.8200030257945744,6,10,-6674.933202715715,-13343.86640543143,-13326.370362889915,-13333.86640543143,-13287.210291987387,TRUE,HH,TTF,2520
