Dependent,Independent,Lag,PACF,Significant
JKM,NBP,1,-0.07258813321769293,TRUE
JKM,NBP,2,-0.02149034614375286,FALSE
JKM,NBP,3,-0.02389797605562807,FALSE
JKM,NBP,4,-0.0074264346392103765,FALSE
JKM,NBP,5,0.005335990805293329,FALSE
JKM,NBP,6,0.0034194009316462575,FALSE
JKM,NBP,7,-0.008304612333114095,FALSE
JKM,NBP,8,-0.024147728514348734,FALSE
JKM,NBP,9,-0.018166894063153846,FALSE
JKM,NBP,10,-0.01536696598761059,FALSE
JKM,NBP,11,-0.03759166355078479,FALSE
JKM,NBP,12,-0.04000157570239421,TRUE
JKM,NBP,13,-0.007525836754724914,FALSE
JKM,NBP,14,-0.0018317759014590416,FALSE
JKM,NBP,15,0.01497204713617436,FALSE
JKM,NBP,16,-0.0030410161218820406,FALSE
JKM,NBP,17,0.0038504740123674022,FALSE
JKM,NBP,18,0.023393787773768764,FALSE
JKM,NBP,19,0.06574930700799678,TRUE
JKM,NBP,20,-0.07354624823377294,TRUE
JKM,NBP,21,0.02742015340732437,FALSE
JKM,NBP,22,0.0651199907358354,TRUE
JKM,NBP,23,0.03550919598338793,FALSE
JKM,NBP,24,-0.01848641576977713,FALSE
JKM,NBP,25,0.006926662602583984,FALSE
JKM,NBP,26,0.010416704209704683,FALSE
JKM,NBP,27,-0.012668722050248889,FALSE
JKM,NBP,28,0.031288199097936516,FALSE
JKM,NBP,29,-0.016851332457678152,FALSE
JKM,NBP,30,-0.030177375857278168,FALSE
JKM,NBP,31,-0.018092115665654322,FALSE
JKM,NBP,32,-0.004320810135327302,FALSE
JKM,NBP,33,-0.007658100227258081,FALSE
JKM,NBP,34,-0.003904728224257544,FALSE
JKM,NBP,35,-0.011995067700588077,FALSE
JKM,TTF,1,-0.07242793183284978,TRUE
JKM,TTF,2,-0.024500206335686784,FALSE
JKM,TTF,3,-0.0283581627964868,FALSE
JKM,TTF,4,-0.0026235622034158764,FALSE
JKM,TTF,5,0.007251867887718619,FALSE
JKM,TTF,6,0.011692024518903377,FALSE
JKM,TTF,7,-0.00981974760448695,FALSE
JKM,TTF,8,-0.025544324274607,FALSE
JKM,TTF,9,-0.017349925672041727,FALSE
JKM,TTF,10,-0.017733806566961136,FALSE
JKM,TTF,11,-0.040163252095304414,TRUE
JKM,TTF,12,-0.038162975246567546,FALSE
JKM,TTF,13,-0.004536159133794254,FALSE
JKM,TTF,14,-0.0033125340706041647,FALSE
JKM,TTF,15,0.01964896996345599,FALSE
JKM,TTF,16,-0.006969948474951685,FALSE
JKM,TTF,17,0.003395956579769277,FALSE
JKM,TTF,18,0.016858894170722637,FALSE
JKM,TTF,19,0.06885527360134355,TRUE
JKM,TTF,20,-0.06842025657586483,TRUE
JKM,TTF,21,0.024013340405299764,FALSE
JKM,TTF,22,0.064414337179799,TRUE
JKM,TTF,23,0.03677321656532192,FALSE
JKM,TTF,24,-0.010116603462869717,FALSE
JKM,TTF,25,0.006873300217092737,FALSE
JKM,TTF,26,0.007798502457927162,FALSE
JKM,TTF,27,-0.01348418815491601,FALSE
JKM,TTF,28,0.02647256746645726,FALSE
JKM,TTF,29,-0.017491590248315148,FALSE
JKM,TTF,30,-0.024428417527386902,FALSE
JKM,TTF,31,-0.023287070010571443,FALSE
JKM,TTF,32,-0.005767259723341586,FALSE
JKM,TTF,33,-0.015951759859975656,FALSE
JKM,TTF,34,-0.002317508976019839,FALSE
JKM,TTF,35,-0.011622440160258155,FALSE
JKM,HH,1,-0.03356280864111819,FALSE
JKM,HH,2,-0.01718783581304878,FALSE
JKM,HH,3,-0.015355187975173502,FALSE
JKM,HH,4,0.01586245683237473,FALSE
JKM,HH,5,0.008973051468956064,FALSE
JKM,HH,6,-0.0031751721696325784,FALSE
JKM,HH,7,0.012755043140850577,FALSE
JKM,HH,8,-0.00291614138229463,FALSE
JKM,HH,9,0.030850955259314666,FALSE
JKM,HH,10,0.025007558482336708,FALSE
JKM,HH,11,-0.016422320884664353,FALSE
JKM,HH,12,-0.010650744679445141,FALSE
JKM,HH,13,0.014536547556052156,FALSE
JKM,HH,14,-0.006963210517529956,FALSE
JKM,HH,15,0.008782991353672144,FALSE
JKM,HH,16,-0.01674876290075102,FALSE
JKM,HH,17,-0.004220818786382301,FALSE
JKM,HH,18,0.005846205808048753,FALSE
JKM,HH,19,0.06741388641244002,TRUE
JKM,HH,20,-0.039752843157450896,TRUE
JKM,HH,21,0.0332440286450108,FALSE
JKM,HH,22,0.07624327711652089,TRUE
JKM,HH,23,0.02906461726873152,FALSE
JKM,HH,24,-0.00914507446060695,FALSE
JKM,HH,25,-0.006912706905676084,FALSE
JKM,HH,26,-0.018993381558930576,FALSE
JKM,HH,27,-0.002365418703149125,FALSE
JKM,HH,28,0.01364905440535075,FALSE
JKM,HH,29,-0.04947988518925895,TRUE
JKM,HH,30,-0.020130630965218325,FALSE
JKM,HH,31,-0.031728823698307124,FALSE
JKM,HH,32,-0.02599633846042617,FALSE
JKM,HH,33,-0.01844978736451156,FALSE
JKM,HH,34,0.007597628410205982,FALSE
JKM,HH,35,-0.0014066162112904832,FALSE
NBP,JKM,1,-0.06283103668085982,TRUE
NBP,JKM,2,-0.004752369469029767,FALSE
NBP,JKM,3,-0.008972952492056005,FALSE
NBP,JKM,4,-0.010592721135233765,FALSE
NBP,JKM,5,-0.05491141458938228,TRUE
NBP,JKM,6,-0.02502110757745056,FALSE
NBP,JKM,7,-0.011778538920515013,FALSE
NBP,JKM,8,-0.017839232159854317,FALSE
NBP,JKM,9,-0.05847184511292698,TRUE
NBP,JKM,10,-0.04975856495422078,TRUE
NBP,JKM,11,0.026011784122654858,FALSE
NBP,JKM,12,-0.013313906796079062,FALSE
NBP,JKM,13,-0.040105267596878706,TRUE
NBP,JKM,14,0.028498941559756075,FALSE
NBP,JKM,15,-0.0356743490413461,FALSE
NBP,JKM,16,-0.023935551425154116,FALSE
NBP,JKM,17,-0.016780683648094562,FALSE
NBP,JKM,18,0.029509490334140034,FALSE
NBP,JKM,19,0.003752801017656977,FALSE
NBP,JKM,20,-0.002407663285122086,FALSE
NBP,JKM,21,0.0029014908838776395,FALSE
NBP,JKM,22,-0.009198433502696212,FALSE
