Regime,Alpha,SE,Dependent,Independent
1,-0.09261514264836039,0.1619279714293481,JKM,NBP
2,-0.07943532941095295,0.16007457315815327,JKM,NBP
3,-0.15771025261629706,0.16481770865712556,JKM,NBP
4,-0.23142615704051914,0.1703370563051544,JKM,NBP
5,-0.24621474250316644,0.1741177041619141,JKM,NBP
1,0.050379308978601114,0.17039084055972628,JKM,TTF
2,0.05374613654907761,0.16868331775295403,JKM,TTF
3,0.01270317842845772,0.16638768098465823,JKM,TTF
4,-0.005939381327956012,0.17193570482964818,JKM,TTF
5,-0.006372246357233845,0.17566266912615816,JKM,TTF
1,-0.24875054992530735,0.19571330870355855,JKM,HH
2,-0.2485309975385687,0.19386194688711117,JKM,HH
3,-0.299580953579844,0.19162658055852863,JKM,HH
4,-0.2561414907160345,0.19512570841967303,JKM,HH
5,-0.19255389973341203,0.20246710335360463,JKM,HH
6,-0.2123919894321194,0.2049251868826246,JKM,HH
1,-0.6103511412516767,0.32988111495831807,NBP,JKM
2,-0.6055104123501843,0.3284332662524852,NBP,JKM
3,-0.6144853710519768,0.3326880664001327,NBP,JKM
4,-0.6542747259950725,0.33790155053015136,NBP,JKM
5,-0.6905468046849766,0.3414846856729248,NBP,JKM
1,0.09599246391025344,0.10807820178615446,NBP,TTF
2,0.10953847813011197,0.10736191285112753,NBP,TTF
3,0.10901082503813246,0.10632992103571196,NBP,TTF
4,0.11972560603012213,0.10745253951196258,NBP,TTF
5,0.1098355517411818,0.11040648817325245,NBP,TTF
6,0.11204718124761806,0.1122459890356213,NBP,TTF
1,-0.9164086324408025,0.33793006734160963,NBP,HH
2,-0.9173851842484007,0.3357202840286889,NBP,HH
3,-0.9284928001924806,0.33348994721328235,NBP,HH
4,-0.9358724340489513,0.33754689102129104,NBP,HH
5,-0.9505647007864534,0.3409408202494141,NBP,HH
6,-0.9987295486634039,0.3436607580396721,NBP,HH
1,-0.6315648195836875,0.2786907829886773,TTF,JKM
2,-0.6167967183004093,0.277318124341153,TTF,JKM
3,-0.5992074670234809,0.2754406917412196,TTF,JKM
4,-0.5554666614340971,0.28002574411340303,TTF,JKM
5,-0.5202459852692207,0.2831989368057535,TTF,JKM
1,-0.2662901774610135,0.1112953405713414,TTF,NBP
2,-0.2767287409589775,0.11077390701111135,TTF,NBP
3,-0.2801180110773352,0.11000479317979807,TTF,NBP
4,-0.29199092138736377,0.11093188319084003,TTF,NBP
5,-0.2646550887456062,0.11281832631936084,TTF,NBP
6,-0.26526262384153804,0.11416777595635191,TTF,NBP
1,-0.8460491003465573,0.3054217090610459,TTF,HH
2,-0.8481739042913271,0.30394152696176946,TTF,HH
3,-0.8828342249697044,0.30224789385879436,TTF,HH
4,-0.829696288306476,0.30633987814152897,TTF,HH
5,-0.8458663904977476,0.30947963953103585,TTF,HH
6,-0.8964340047292847,0.31207958313675493,TTF,HH
1,0.0951492637848584,0.23393237499502745,HH,JKM
2,0.1015114130317108,0.23214690333804033,HH,JKM
3,0.0866221155921737,0.23018663972247735,HH,JKM
4,0.02744793101993095,0.23382520640640445,HH,JKM
5,-0.010655337645812652,0.23994422164343326,HH,JKM
6,0.025704876801698633,0.24383511139497405,HH,JKM
1,0.3547614736536348,0.24444650942071122,HH,NBP
2,0.34027574484384715,0.24259185734855046,HH,NBP
3,0.3060066495565069,0.24067599715051563,HH,NBP
4,0.31545609456278206,0.2447093326328281,HH,NBP
5,0.2637400033364981,0.2488502089764364,HH,NBP
6,0.29869727926408346,0.25262636886681816,HH,NBP
1,0.307545599687263,0.24440786911885354,HH,TTF
2,0.31730679541242546,0.24284140195745577,HH,TTF
3,0.29901165887368514,0.2410681575928415,HH,TTF
4,0.30668462478635716,0.24560669281519512,HH,TTF
5,0.29143662016040844,0.2501136213467637,HH,TTF
6,0.3284882612876707,0.25395222735014117,HH,TTF
