Dependent,Independent,Date,Residual_Std
JKM,NBP,2016-01-06,2.0861442850932495e-4
JKM,NBP,2016-01-07,-0.01447307891720402
JKM,NBP,2016-01-08,0.0312218316729311
JKM,NBP,2016-01-11,-0.012060088096411601
JKM,NBP,2016-01-12,-0.1226019868844886
JKM,NBP,2016-01-13,0.00758362845970073
JKM,NBP,2016-01-14,-0.012424733476688442
JKM,NBP,2016-01-19,-3.336135192332354
JKM,NBP,2016-01-20,-0.47403819205306125
JKM,NBP,2016-01-21,-2.360705612603974
JKM,NBP,2016-01-22,1.0911974459369702
JKM,NBP,2016-01-25,0.8620653461767014
JKM,NBP,2016-01-26,1.0816681035772784
JKM,NBP,2016-01-27,0.7449364475840774
JKM,NBP,2016-01-28,0.8238401974137785
JKM,NBP,2016-01-29,1.024217709700567
JKM,NBP,2016-02-01,1.3887529832575394
JKM,NBP,2016-02-02,1.7674632143667857
JKM,NBP,2016-02-03,1.2483759577058744
JKM,NBP,2016-02-04,1.305638764128041
JKM,NBP,2016-02-05,0.722166455409849
JKM,NBP,2016-02-08,0.6180623289514636
JKM,NBP,2016-02-09,0.5407659311787731
JKM,NBP,2016-02-10,0.6150510262266763
JKM,NBP,2016-02-11,0.5955730350573769
JKM,NBP,2016-02-12,0.3214925424560866
JKM,NBP,2016-02-16,-3.648748826870967
JKM,NBP,2016-02-17,0.1840928972934491
JKM,NBP,2016-02-18,-0.3645201465235776
JKM,NBP,2016-02-19,0.13863983128110058
JKM,NBP,2016-02-22,-0.4851112169022931
JKM,NBP,2016-02-23,0.1266071330213854
JKM,NBP,2016-02-24,0.15365862321065862
JKM,NBP,2016-02-25,0.5563778076146403
JKM,NBP,2016-02-26,0.04494121397818793
JKM,NBP,2016-02-29,0.38685437769907377
JKM,NBP,2016-03-01,0.1352019456052704
JKM,NBP,2016-03-02,0.26838475539711215
JKM,NBP,2016-03-03,0.2926670673030838
JKM,NBP,2016-03-04,0.32632157709434606
JKM,NBP,2016-03-07,0.2892618517595725
JKM,NBP,2016-03-08,0.058158094998785395
JKM,NBP,2016-03-09,0.0943264651367381
JKM,NBP,2016-03-10,0.23673813225353108
JKM,NBP,2016-03-11,-0.030519027357586232
JKM,NBP,2016-03-14,-0.03534465335915411
JKM,NBP,2016-03-15,-0.09072816898805244
JKM,NBP,2016-03-16,-0.5047524282332094
JKM,NBP,2016-03-17,-0.29143536775196294
JKM,NBP,2016-03-18,-0.20858362915020368
JKM,NBP,2016-03-21,-0.5400779805340952
JKM,NBP,2016-03-22,-0.059173949304268315
JKM,NBP,2016-03-23,-0.09718993070906587
JKM,NBP,2016-03-24,-0.22277759933097474
JKM,NBP,2016-03-29,-0.2577791409098815
JKM,NBP,2016-03-30,-0.1770367146779977
JKM,NBP,2016-03-31,0.08468536846601371
JKM,NBP,2016-04-01,0.35831924146397476
JKM,NBP,2016-04-04,0.1982067071103636
JKM,NBP,2016-04-05,0.2414861683594219
JKM,NBP,2016-04-06,-0.1427121806658614
JKM,NBP,2016-04-07,0.10592252697246722
JKM,NBP,2016-04-18,-3.2013205653853865
JKM,NBP,2016-04-19,-0.4702244190704431
JKM,NBP,2016-04-20,0.16035133441415916
JKM,NBP,2016-04-21,1.2597495278900979
JKM,NBP,2016-04-22,-0.7913688951804234
JKM,NBP,2016-04-25,0.464294625594305
JKM,NBP,2016-04-26,-0.4125851786558531
JKM,NBP,2016-04-27,-0.007784161742067279
JKM,NBP,2016-04-28,0.5353913716287501
JKM,NBP,2016-04-29,0.19128352584064018
JKM,NBP,2016-05-02,-0.02598069990659328
JKM,NBP,2016-05-03,-0.0898472127607582
JKM,NBP,2016-05-04,-0.20331564991388468
JKM,NBP,2016-05-05,-0.24648029577594335
JKM,NBP,2016-05-06,-0.4030046401405486
JKM,NBP,2016-05-09,-0.3425915569944241
JKM,NBP,2016-05-10,-0.06784351055273583
JKM,NBP,2016-05-11,-0.1724292009397374
JKM,NBP,2016-05-12,-0.05004257504896481
JKM,NBP,2016-05-16,-0.16176027946063656
JKM,NBP,2016-05-17,-0.1946233804765257
JKM,NBP,2016-05-18,0.7937842881319679
JKM,NBP,2016-05-19,-0.07064737143717582
JKM,NBP,2016-05-20,-0.1732772992918142
JKM,NBP,2016-05-23,-0.089925725817099
JKM,NBP,2016-05-24,-0.1366825485196175
JKM,NBP,2016-05-25,-0.27945483965047363
JKM,NBP,2016-05-26,0.022015915342116475
JKM,NBP,2016-05-27,-0.32611244991517646
JKM,NBP,2016-05-31,0.009446731313447837
JKM,NBP,2016-06-01,-0.34136269515946055
JKM,NBP,2016-06-02,0.16018245064591388
JKM,NBP,2016-06-03,-0.17158261600444433
JKM,NBP,2016-06-06,-0.13991189879449395
JKM,NBP,2016-06-07,-0.01346687134225404
JKM,NBP,2016-06-08,-0.030796902852672732
JKM,NBP,2016-06-09,0.023540658009197916
JKM,NBP,2016-06-10,0.2051126378067553
JKM,NBP,2016-06-13,0.086455110622223455
JKM,NBP,2016-06-14,-0.07768625875137529
JKM,NBP,2016-06-15,-0.17154403163529494
JKM,NBP,2016-06-16,1.2002767118641071
JKM,NBP,2016-06-17,-0.2756143130481965
JKM,NBP,2016-06-20,-0.14689047937487174
JKM,NBP,2016-06-21,0.9126175805652799
JKM,NBP,2016-06-22,-0.16578011771275075
JKM,NBP,2016-06-23,0.14255402900537725
JKM,NBP,2016-06-24,0.13752948817347277
JKM,NBP,2016-06-27,-0.13332428291833384
JKM,NBP,2016-06-28,0.13781203259823577
JKM,NBP,2016-06-29,-0.04340451480588474
JKM,NBP,2016-06-30,-0.30188814733352143
JKM,NBP,2016-07-01,-0.07883455472979997
JKM,NBP,2016-07-05,-0.17634958197279008
JKM,NBP,2016-07-06,-0.006961488447791271
JKM,NBP,2016-07-07,-0.08927548900802541
JKM,NBP,2016-07-08,0.20258968124470617
JKM,NBP,2016-07-11,0.1267659291189828
JKM,NBP,2016-07-12,-0.05195560260079355
JKM,NBP,2016-07-13,0.04844864281305349
JKM,NBP,2016-07-14,-0.017171114521253725
JKM,NBP,2016-07-15,0.1547644967686597
JKM,NBP,2016-07-18,2.052935701714786
JKM,NBP,2016-07-19,0.26055670607225656
JKM,NBP,2016-07-20,-0.11840366932088774
JKM,NBP,2016-07-21,0.12408274060720496
JKM,NBP,2016-07-22,0.261904905375615
JKM,NBP,2016-07-25,-0.023824208287846083
JKM,NBP,2016-07-26,-0.06579893169633967
JKM,NBP,2016-07-27,-0.037707013474880806
JKM,NBP,2016-07-28,0.05264054407742892
JKM,NBP,2016-07-29,-0.04910618311317032
JKM,NBP,2016-08-01,0.10453441875639932
JKM,NBP,2016-08-02,-0.2776969707167865
JKM,NBP,2016-08-03,-0.23960110279063324
JKM,NBP,2016-08-04,0.17357481772929598
JKM,NBP,2016-08-05,0.2412130130870712
JKM,NBP,2016-08-08,0.10388438007334562
JKM,NBP,2016-08-09,0.17379240304651383
JKM,NBP,2016-08-10,-0.02456641688980097
JKM,NBP,2016-08-11,0.08838947151081898
JKM,NBP,2016-08-12,0.2740499423597465
JKM,NBP,2016-08-15,0.3342694843052977
JKM,NBP,2016-08-16,-1.9206262884217082
JKM,NBP,2016-08-17,0.31788948735928396
JKM,NBP,2016-08-18,0.1070726967632557
JKM,NBP,2016-08-19,1.1265861167674416
JKM,NBP,2016-08-22,-0.0410665620797998
JKM,NBP,2016-08-23,-0.578527809861236
JKM,NBP,2016-08-24,0.1315268177359127
JKM,NBP,2016-08-25,0.038072439003638985
JKM,NBP,2016-08-26,-0.19355219479949007
JKM,NBP,2016-08-29,-0.33589642528148883
JKM,NBP,2016-08-30,0.10462765253228692
JKM,NBP,2016-08-31,-0.3585692501553433
JKM,NBP,2016-09-01,-0.055485555685812704
JKM,NBP,2016-09-02,-0.0489702784653171
JKM,NBP,2016-09-06,0.06764395381794779
JKM,NBP,2016-09-07,0.13583502289231805
JKM,NBP,2016-09-08,0.3224819498525059
JKM,NBP,2016-09-09,0.01682127746060823
JKM,NBP,2016-09-12,-0.16043997680016353
JKM,NBP,2016-09-13,0.13295443958975428
JKM,NBP,2016-09-14,-0.06780004702130768
JKM,NBP,2016-09-15,-0.10894218908061369
JKM,NBP,2016-09-16,0.8024943357833163
JKM,NBP,2016-09-19,-0.178486874676702
JKM,NBP,2016-09-20,-0.0052462993459984645
JKM,NBP,2016-09-21,0.2938739653256029
JKM,NBP,2016-09-22,-0.13705419760619503
JKM,NBP,2016-09-23,0.05516343171316332
JKM,NBP,2016-09-26,0.16804085978438235
JKM,NBP,2016-09-27,0.09141493868337873
JKM,NBP,2016-09-28,0.26546822649874735
JKM,NBP,2016-09-29,-0.012765609814399354
JKM,NBP,2016-09-30,0.011435736934095657
JKM,NBP,2016-10-03,0.01869335380150944
JKM,NBP,2016-10-04,-0.056321084108309036
JKM,NBP,2016-10-05,-0.17307534254137613
JKM,NBP,2016-10-06,-0.12826834642883236
JKM,NBP,2016-10-07,0.06201253482623872
JKM,NBP,2016-10-10,-0.003959856510354509
JKM,NBP,2016-10-11,0.045798863369842714
JKM,NBP,2016-10-12,-0.02324613169569614
JKM,NBP,2016-10-13,-0.05188363264799447
JKM,NBP,2016-10-17,2.8311416569210763
