Dependent,Independent,Lag,ACF,Significant
JKM,NBP,1,-0.06476457468785515,TRUE
JKM,NBP,2,-0.0469216820158575,TRUE
JKM,NBP,3,-0.041511533961130546,TRUE
JKM,NBP,4,-0.030722688436023965,FALSE
JKM,NBP,5,-0.01591768492340268,FALSE
JKM,NBP,6,-0.011207410143000517,FALSE
JKM,NBP,7,-0.011416460056533049,FALSE
JKM,NBP,8,-0.026593450848189672,FALSE
JKM,NBP,9,-0.018277357648692382,FALSE
JKM,NBP,10,-0.011132736010430827,FALSE
JKM,NBP,11,-0.025069686186952694,FALSE
JKM,NBP,12,-0.025919861114000218,FALSE
JKM,NBP,13,0.01260691964509181,FALSE
JKM,NBP,14,-0.005648142436648124,FALSE
JKM,NBP,15,0.020287002296573337,FALSE
JKM,NBP,16,-0.002487541175943522,FALSE
JKM,NBP,17,-7.877484721841505e-4,FALSE
JKM,NBP,18,0.022373564568361735,FALSE
JKM,NBP,19,0.05693793738088946,TRUE
JKM,NBP,20,-0.07320502695015443,TRUE
JKM,NBP,21,0.030626846401036616,FALSE
JKM,NBP,22,0.05181517030187984,TRUE
JKM,NBP,23,0.019132143339796907,FALSE
JKM,NBP,24,-0.03485303008679337,FALSE
JKM,NBP,25,-0.011393874759717041,FALSE
JKM,NBP,26,5.786044259115393e-4,FALSE
JKM,NBP,27,0.0026603327567773817,FALSE
JKM,NBP,28,0.034941566396488516,FALSE
JKM,NBP,29,-0.02746353604980373,FALSE
JKM,NBP,30,-0.032743566677993406,FALSE
JKM,NBP,31,-0.01610563971759127,FALSE
JKM,NBP,32,-0.00657877598847384,FALSE
JKM,NBP,33,-0.007843305610272674,FALSE
JKM,NBP,34,0.005433777660445956,FALSE
JKM,TTF,1,-0.08057650581179276,TRUE
JKM,TTF,2,-0.051359826624812636,TRUE
JKM,TTF,3,-0.03942382096858283,TRUE
JKM,TTF,4,-0.01159764283701633,FALSE
JKM,TTF,5,-0.006424760734392473,FALSE
JKM,TTF,6,0.0010039756486395325,FALSE
JKM,TTF,7,-0.009535651585460108,FALSE
JKM,TTF,8,-0.02294702017341822,FALSE
JKM,TTF,9,-0.013556748587027732,FALSE
JKM,TTF,10,-0.013512887588993942,FALSE
JKM,TTF,11,-0.027605228324873915,FALSE
JKM,TTF,12,-0.02295048450175505,FALSE
JKM,TTF,13,0.016571968007100358,FALSE
JKM,TTF,14,-0.0034399584471431445,FALSE
JKM,TTF,15,0.021581665172433075,FALSE
JKM,TTF,16,-0.006258509590233066,FALSE
JKM,TTF,17,6.234500601777639e-4,FALSE
JKM,TTF,18,0.013448833277634447,FALSE
JKM,TTF,19,0.06679849449276709,TRUE
JKM,TTF,20,-0.06770683480275831,TRUE
JKM,TTF,21,0.0308943931469594,FALSE
JKM,TTF,22,0.06361871574516226,TRUE
JKM,TTF,23,0.026841112462638622,FALSE
JKM,TTF,24,-0.021677115840590497,FALSE
JKM,TTF,25,-0.005442173506862553,FALSE
JKM,TTF,26,-0.0043745731238784705,FALSE
JKM,TTF,27,-0.001516141226913119,FALSE
JKM,TTF,28,0.026878133496241574,FALSE
JKM,TTF,29,-0.03141089303715579,FALSE
JKM,TTF,30,-0.028214949943014666,FALSE
JKM,TTF,31,-0.022396535237208325,FALSE
JKM,TTF,32,-0.007795514965147305,FALSE
JKM,TTF,33,-0.014666907188817573,FALSE
JKM,TTF,34,0.012963393988904453,FALSE
JKM,HH,1,-0.007348567965112752,FALSE
JKM,HH,2,0.00217404592809678,FALSE
JKM,HH,3,-0.02988571818716068,FALSE
