Dependent,Independent,LB_stat,LB_p,LB_sq_stat,LB_sq_p,JB_stat,JB_p
JKM,NBP,55.08398033007418,3.989150373640005e-5,36.779869278583675,0.012433664404464584,610211.9338913762,0
JKM,TTF,58.62491346142215,1.1599891024616227e-5,42.4260309837603,0.002432761189455568,792312.5711868188,0
JKM,HH,20.423442671138275,0.4317370274592598,41.18157173685245,0.0035302591413510775,513668.6734593815,0
NBP,JKM,61.35861477862984,4.379573390056457e-6,998.1499752637648,0,4980.58300529636,0
NBP,TTF,217.79661557620415,0,1885.702260089094,0,41194.96425201592,0
NBP,HH,79.3152056161755,5.129226487987637e-9,854.9966591914379,0,5837.16590727788,0
TTF,JKM,66.26502549312379,7.326284826580931e-7,707.8350343912608,0,6706.527990957874,0
TTF,NBP,221.7168096356323,0,1147.091077432701,0,80404.98731801486,0
TTF,HH,64.3192737066045,1.4974575162085557e-6,961.3425072155349,0,11043.457024947866,0
HH,JKM,47.8027481826271,4.533546609752914e-4,171.4298283353058,0,53316.351192784256,0
HH,NBP,53.205018190935405,7.581765351283298e-5,146.61486308366483,0,39588.613174271486,0
HH,TTF,52.77709782825498,8.763749762863426e-5,147.4905262404621,0,42978.35213607205,0
