Dependent,Independent,Lag,PACF,Significant
JKM,NBP,1,-0.06476457468785518,TRUE
JKM,NBP,2,-0.051331439312886216,TRUE
JKM,NBP,3,-0.04836058244967847,TRUE
JKM,NBP,4,-0.03971032924710294,TRUE
JKM,NBP,5,-0.02575051154966782,FALSE
JKM,NBP,6,-0.020195473462312014,FALSE
JKM,NBP,7,-0.01942298230522213,FALSE
JKM,NBP,8,-0.03418902154586909,FALSE
JKM,NBP,9,-0.027831089640652194,FALSE
JKM,NBP,10,-0.02136078408933215,FALSE
JKM,NBP,11,-0.03546902364478502,FALSE
JKM,NBP,12,-0.03855173950694999,FALSE
JKM,NBP,13,-0.0012500794236793083,FALSE
JKM,NBP,14,-0.015617832901115554,FALSE
JKM,NBP,15,0.01109762710321098,FALSE
JKM,NBP,16,-0.007256773890698272,FALSE
JKM,NBP,17,-0.005146871965001014,FALSE
JKM,NBP,18,0.018889748661416912,FALSE
JKM,NBP,19,0.05747544082019201,TRUE
JKM,NBP,20,-0.06694066324216871,TRUE
JKM,NBP,21,0.02739426355705768,FALSE
JKM,NBP,22,0.055213717944551106,TRUE
JKM,NBP,23,0.028492094967330493,FALSE
JKM,NBP,24,-0.025071409787692227,FALSE
JKM,NBP,25,-0.005127135854270469,FALSE
JKM,NBP,26,0.005817872548913631,FALSE
JKM,NBP,27,0.008516252360089618,FALSE
JKM,NBP,28,0.03647069417409275,FALSE
JKM,NBP,29,-0.019075446660137683,FALSE
JKM,NBP,30,-0.025827882652063795,FALSE
JKM,NBP,31,-0.0160583098818306,FALSE
JKM,NBP,32,-0.013968766392680299,FALSE
JKM,NBP,33,-0.010159635382514192,FALSE
JKM,NBP,34,-0.0012107794690913991,FALSE
JKM,NBP,35,-0.010086916430641836,FALSE
JKM,TTF,1,-0.08057650581179276,TRUE
JKM,TTF,2,-0.058230465478412215,TRUE
JKM,TTF,3,-0.048978195370591886,TRUE
JKM,TTF,4,-0.022498689890407497,FALSE
JKM,TTF,5,-0.014591243457417377,FALSE
