Regime,Alpha,SE,Dependent,Independent
1,0.24240657304696353,0.028063192232088127,JKM,NBP
2,0.23374232383220264,0.015454137102858501,JKM,NBP
3,0.2043107507560284,0.029856581930441484,JKM,NBP
4,0.2224374732365307,0.041874321374312073,JKM,NBP
5,0.20055802801092087,0.04991814895792058,JKM,NBP
1,0.35553703164871475,0.038147838843859076,JKM,TTF
2,0.34617617760070585,0.03136034658621276,JKM,TTF
3,0.2742176234961891,0.016190316392442894,JKM,TTF
4,0.2813072658806127,0.039617545096525104,JKM,TTF
5,0.283753187890943,0.047507290236034214,JKM,TTF
1,0.0709229119360109,0.019678971370269478,JKM,HH
2,0.08909807580294289,0.018703228161063908,JKM,HH
3,0.058772652494505216,0.014761510151538221,JKM,HH
4,0.1141022548066081,0.018464767489462137,JKM,HH
5,0.14101603548496713,0.01921147526909441,JKM,HH
6,0.14412240615276642,0.022719806398913956,JKM,HH
1,0.5401910190793044,0.05687783776381091,NBP,JKM
2,0.4969029383124451,0.045732324816372905,NBP,JKM
3,0.5076738027171929,0.058217348367266324,NBP,JKM
4,0.45378217154538036,0.07867061680097245,NBP,JKM
5,0.3882618152522345,0.09130628862044257,NBP,JKM
1,-0.006228308515986859,0.021263905010096014,NBP,TTF
2,0.007696199516130893,0.016871817550720508,NBP,TTF
3,0.0037843861451908475,0.004585322596716211,NBP,TTF
4,0.02170262674800433,0.01086825245372604,NBP,TTF
5,-0.08586974921123179,0.025833609653725064,NBP,TTF
6,-0.09186043650829401,0.030804634647928056,NBP,TTF
1,0.5290891044742203,0.05449817268139693,NBP,HH
2,0.5127698780852038,0.049556722865651395,NBP,HH
3,0.40042018551223335,0.037490429764178115,NBP,HH
4,0.6519006941367571,0.05040849812703384,NBP,HH
5,0.7882091712128182,0.048490021040683604,NBP,HH
6,0.8100808151217626,0.05746324649916704,NBP,HH
1,0.40260741426559316,0.059491469303853496,TTF,JKM
2,0.40693481796558456,0.051313083823437015,TTF,JKM
3,0.39118192824100434,0.03858615800224403,TTF,JKM
4,0.4015690231548716,0.05979536028003462,TTF,JKM
5,0.4039756535192298,0.0701105315188372,TTF,JKM
1,0.038349640373902864,0.021300831024849882,TTF,NBP
2,0.019175574893708056,0.017113979873243673,TTF,NBP
3,0.016563363540274618,0.004512204191739619,TTF,NBP
4,0.0017964589355173356,0.011927482054040995,TTF,NBP
5,0.1923643561692491,0.025067542325961076,TTF,NBP
6,0.1527993845763753,0.03009960226945532,TTF,NBP
1,0.1751910349606211,0.03079594256565891,TTF,HH
2,0.1776681934280465,0.028450244326478892,TTF,HH
3,0.1346891528607019,0.022430046750056814,TTF,HH
4,0.2708428861774905,0.02956824181166992,TTF,HH
5,0.28855687610295105,0.027665198619256485,TTF,HH
6,0.30469888980910953,0.033187596537505436,TTF,HH
1,0.5351182414198815,0.05834730082105683,HH,JKM
2,0.540516568299608,0.05017186286364468,HH,JKM
3,0.5351021096993333,0.03932930339299362,HH,JKM
4,0.4939824329460646,0.04790282663792581,HH,JKM
5,0.4356396452056067,0.06528258086463402,HH,JKM
6,0.4687785837412554,0.07536672979779596,HH,JKM
1,0.38304084318409903,0.046262821505643176,HH,NBP
2,0.36038933830536346,0.03615981396320383,HH,NBP
3,0.311264441974953,0.016960608491161502,HH,NBP
4,0.38227941996331993,0.03819894726240086,HH,NBP
5,0.32798376564145115,0.04917489397189542,HH,NBP
6,0.3695636488303688,0.06005751440239566,HH,NBP
1,0.35277805479067886,0.045179735101269894,HH,TTF
2,0.33658848899136534,0.03538571269816639,HH,TTF
3,0.3090454612401614,0.016822307794866893,HH,TTF
4,0.3472531005255905,0.04179500903348299,HH,TTF
5,0.3263178774107781,0.052524493771204474,HH,TTF
6,0.37019121017732126,0.06264774115948737,HH,TTF
