Dependent,Independent,Window,N,SD_residual,Mean_abs_residual,LB_p,LB_sq_p
JKM,NBP,Pre-COVID,1001,0.7421101874909141,0.30350429522599726,0.20433057125616116,0.9670921203760315
JKM,NBP,COVID shock,102,1.0017363202625684,0.6105952933913221,0.2873790867263232,0.9985443845852715
JKM,NBP,Interim recovery,290,1.646284534573097,0.6806133130396598,0.017648574042597787,0.9997976968161455
JKM,NBP,Energy crisis (pre-war),118,1.2902863259135438,0.7917290689967874,0.019463084358941618,0.997714462569302
JKM,NBP,Post-invasion crisis,208,1.5313446768423502,0.9814465289067977,0.1296739195585228,0.862425246893887
JKM,NBP,Normalization,801,0.6975782600195324,0.36567696722651505,4.3465379314688857e-4,0.9967833679470386
JKM,TTF,Pre-COVID,1001,0.7548804109865586,0.3091882874059731,0.1702035615305051,0.9673785638908965
JKM,TTF,COVID shock,102,1.0294642436295842,0.6311463884101439,0.335421180641972,0.9979725573017724
JKM,TTF,Interim recovery,290,1.7160848390940204,0.6975689910079238,0.030751254204284706,0.9992096155209012
JKM,TTF,Energy crisis (pre-war),118,1.2734949118513572,0.777284458089233,0.03211872794852244,0.9982644967981679
JKM,TTF,Post-invasion crisis,208,1.4025256865679894,0.8478850953944872,0.004303783492881519,0.7906583514359228
JKM,TTF,Normalization,801,0.6879223790727989,0.3566532365041805,3.8309521623314247e-4,0.9974576478813605
JKM,HH,Pre-COVID,1001,0.6668517651299618,0.27979479580783273,0.7381819830462766,0.9813959768707632
JKM,HH,COVID shock,102,0.8209734482284594,0.47601606105442934,0.7676961941475343,0.9988597256783123
JKM,HH,Interim recovery,290,1.5600818391282516,0.6333267942189976,0.19762505973318256,0.9993855774406333
JKM,HH,Energy crisis (pre-war),118,1.5417612838405979,0.9321835119240628,0.00684512424304673,0.8636248093790957
JKM,HH,Post-invasion crisis,208,1.6747742986875547,0.9411510211482089,0.4126486328835506,0.5444403680960826
JKM,HH,Normalization,801,0.7341331464606661,0.35934957156614294,0.4150504059413791,0.2531196214476883
NBP,JKM,Pre-COVID,1001,0.7101787036291258,0.48675082817316145,1.0817372744120757e-4,1.157299034049153e-6
NBP,JKM,COVID shock,102,1.7843858582738021,1.3139000537560996,0.20359686072204564,2.2555814593316903e-5
NBP,JKM,Interim recovery,290,1.0042558687870982,0.7205610076715055,0.18557114502950944,5.463407504180395e-13
NBP,JKM,Energy crisis (pre-war),118,1.1053335396678403,0.8406784029788107,0.8272513150096412,0.6255626089545232
NBP,JKM,Post-invasion crisis,208,1.77145681900267,1.3470581468047353,0.025388991436638753,4.5286466217586696e-4
NBP,JKM,Normalization,801,0.8601200196810629,0.5952923560054708,6.290897802685436e-10,0
NBP,TTF,Pre-COVID,1001,0.6514584475809955,0.43341685534031604,4.899942366671795e-4,0.017127988630437185
NBP,TTF,COVID shock,102,2.3442850058666647,1.7370607505893356,0.009010721916285047,0.3654624329438493
NBP,TTF,Interim recovery,290,1.1350812877911702,0.6436158093138398,0,0
NBP,TTF,Energy crisis (pre-war),118,0.42072712730178136,0.3069771228071855,0.33944865460223916,0.47306171890806725
NBP,TTF,Post-invasion crisis,208,2.200068690796213,1.4195184948232433,0.472732458757104,0.09244089667170652
NBP,TTF,Normalization,801,0.4116728912333158,0.2910324662866883,0.5465230593063848,0.5209233888688405
NBP,HH,Pre-COVID,1001,0.6274726338103793,0.43689390736697786,0.001179689189734101,1.782333300138772e-4
NBP,HH,COVID shock,102,1.3391006469775262,1.0251358740830547,0.15678103720083036,5.691220794403762e-4
NBP,HH,Interim recovery,290,0.8902579729469541,0.6612872776143551,0.05656410698929393,1.7697494898660793e-5
NBP,HH,Energy crisis (pre-war),118,1.4643307213327639,1.1108820667136157,0.12287226716809307,0.0013268062804397962
NBP,HH,Post-invasion crisis,208,1.8677964317021754,1.3938965249303394,0.045377049127423685,0.03891140629145717
NBP,HH,Normalization,801,0.9549455992215953,0.6721072205942596,5.91866141983477e-5,0
TTF,JKM,Pre-COVID,1001,0.7274769236428114,0.4752437568935867,7.39949090888814e-9,0
TTF,JKM,COVID shock,102,1.7003487657995933,1.2216805918323916,0.45527914819743776,3.000928460172858e-7
TTF,JKM,Interim recovery,290,1.052071930226091,0.7392966297291741,0.030032371538601055,4.179028217898839e-5
TTF,JKM,Energy crisis (pre-war),118,1.3204757314949866,0.9975754986986289,0.6764961729658616,0.49305947454898913
TTF,JKM,Post-invasion crisis,208,1.4760032273713797,1.0773347451665023,0.004881523960513667,1.4406180239845412e-6
