Dependent,Independent,Alpha_hat,Beta_hat,R_squared,ADF_resid_diag_stat,ADF_resid_diag_5pct_standard,ADF_resid_diag_reject_standard,ADF_resid_note,PO_stat,PO_5pct,PO_reject_5pct,PO_test,Conclusion
JKM,NBP,0.316626780071851,0.9162804434819314,0.9641582149866901,-10.299092978000314,-1.95,TRUE,"Diagnostic only, standard ADF critical values",264.25150904107744,33.713,FALSE,Phillips Ouliaris Pu,No cointegration evidence by Phillips Ouliaris
JKM,TTF,0.5610271003000432,0.8393258532436637,0.9514027215755142,-5.194532988710521,-1.95,TRUE,"Diagnostic only, standard ADF critical values",181.8608678838548,33.713,FALSE,Phillips Ouliaris Pu,No cointegration evidence by Phillips Ouliaris
JKM,HH,0.664882439547179,1.462604089762151,0.5912979309171704,-3.9480917703970064,-1.95,TRUE,"Diagnostic only, standard ADF critical values",25.997727477341655,33.713,TRUE,Phillips Ouliaris Pu,Cointegration evidence by Phillips Ouliaris
NBP,JKM,-0.2564003871550925,1.0522523118826124,0.9641582149866901,-10.390579768025662,-1.95,TRUE,"Diagnostic only, standard ADF critical values",351.0901609822929,33.713,FALSE,Phillips Ouliaris Pu,No cointegration evidence by Phillips Ouliaris
NBP,TTF,0.2775714864660775,0.9107186733063792,0.9753942694585594,-4.239619949968634,-1.95,TRUE,"Diagnostic only, standard ADF critical values",74.36177654063394,33.713,FALSE,Phillips Ouliaris Pu,No cointegration evidence by Phillips Ouliaris
NBP,HH,0.43213648597942844,1.5490735059397598,0.5775709926096421,-3.2815922075729733,-1.95,TRUE,"Diagnostic only, standard ADF critical values",31.245197045116676,33.713,TRUE,Phillips Ouliaris Pu,Cointegration evidence by Phillips Ouliaris
TTF,JKM,-0.5364568674595805,1.1335320101230242,0.9514027215755143,-4.961818851600099,-1.95,TRUE,"Diagnostic only, standard ADF critical values",157.56771170138146,33.713,FALSE,Phillips Ouliaris Pu,No cointegration evidence by Phillips Ouliaris
TTF,NBP,-0.24691218999487063,1.071015998735779,0.9753942694585596,-4.127884239209798,-1.95,TRUE,"Diagnostic only, standard ADF critical values",51.510039841467226,33.713,FALSE,Phillips Ouliaris Pu,No cointegration evidence by Phillips Ouliaris
TTF,HH,0.14593163481929888,1.7224852689964907,0.6072403711742117,-3.411168393665664,-1.95,TRUE,"Diagnostic only, standard ADF critical values",23.738039347754235,33.713,TRUE,Phillips Ouliaris Pu,Cointegration evidence by Phillips Ouliaris
HH,JKM,0.18231091199058475,0.4042775041148201,0.5912979309171703,-4.78249317736217,-1.95,TRUE,"Diagnostic only, standard ADF critical values",85.0235475240174,33.713,FALSE,Phillips Ouliaris Pu,No cointegration evidence by Phillips Ouliaris
HH,NBP,0.3051373426923461,0.3728493130861811,0.5775709926096422,-4.067735485603067,-1.95,TRUE,"Diagnostic only, standard ADF critical values",79.55354935004831,33.713,FALSE,Phillips Ouliaris Pu,No cointegration evidence by Phillips Ouliaris
HH,TTF,0.3820649890398224,0.35253733782465757,0.6072403711742117,-4.163056180450772,-1.95,TRUE,"Diagnostic only, standard ADF critical values",86.15979303676113,33.713,FALSE,Phillips Ouliaris Pu,No cointegration evidence by Phillips Ouliaris
