Series,Specification,Reject_5pct,Test,Statistic,p_value
JKM,intercept + trend,TRUE,OLS-CUSUM,8.702825653025483,0
JKM,intercept + trend,TRUE,OLS-MOSUM,13.082859864300675,0.01
NBP,intercept + trend,TRUE,OLS-CUSUM,8.903972792255722,0
NBP,intercept + trend,TRUE,OLS-MOSUM,13.10856076744739,0.01
TTF,intercept + trend,TRUE,OLS-CUSUM,9.2042917613051891,0
TTF,intercept + trend,TRUE,OLS-MOSUM,13.835136413224,0.01
HH,intercept + trend,TRUE,OLS-CUSUM,7.110511002282273,0
HH,intercept + trend,TRUE,OLS-MOSUM,13.01494295134662,0.01
Brent_MA3,intercept + trend,TRUE,OLS-CUSUM,6.228264296891273,0
Brent_MA3,intercept + trend,TRUE,OLS-MOSUM,9.397881072719542,0.01
